,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수
23901,2021,1,D,발달상권,2120106,마포역,CS100002,중식음식점,411895545.0,10809,84,16,17,15,17,18,17,9,7,0,0,40,5,45,10,68,32,0,14,25,26,21,14,347051247.0,64844298.0,69314299.0,63120349.0,71596317.0,74114687.0,68905595.0,38138184.0,26706114.0,0,22467.0,165796230.0,22076414.0,184473133.0,39527301,140431784.0,65814347.0,108250,29616006,51676125.0,53740759.0,42189251.0,28915736.0,9085,1724,1837,1762,1914,1776,1796,987,737,0,4,6539,724,3193,349,5125,2700,12,1584,2268,1897,1263,801,12
59355,2021,2,D,발달상권,2120106,마포역,CS100002,중식음식점,214066269.0,5465,90,10,19,15,15,20,20,8,2,0,0,36,4,43,18,64,36,0,13,26,23,22,16,193204051.0,20862218.0,41289156.0,32115228.0,32811852.0,43223912.0,43763903.0,16709402.0,4152816.0,0,68218.0,75917661.0,8169127.0,91229784.0,38681479,59131756.0,32701214.0,115195,11713737,23767987.0,21061631.0,20607864.0,14566554.0,4975,490,941,880,906,1060,1188,372,118,0,9,3364,321,1551,220,2304,1495,12,759,1075,912,724,318,10
94598,2021,3,D,발달상권,2120106,마포역,CS100002,중식음식점,156684888.0,5143,92,9,16,16,16,27,17,8,1,0,0,53,8,33,6,68,32,0,11,29,23,21,15,143296616.0,13388272.0,24662558.0,25126810.0,24335033.0,42824133.0,26348082.0,11995687.0,1392585.0,77613,0.0,83318400.0,11918956.0,51610755.0,9759164,51635690.0,24113783.0,242235,8242647,22237979.0,17748745.0,16108255.0,11169612.0,4785,358,910,944,994,1026,911,315,43,4,0,3339,303,1410,87,2268,1301,24,561,1180,896,539,366,9
129444,2021,4,D,발달상권,2120106,마포역,CS100002,중식음식점,596566804.0,13286,82,18,15,14,18,18,17,11,6,0,0,34,8,39,19,73,28,0,13,23,26,23,15,491472305.0,105094499.0,91088809.0,82517601.0,105683095.0,108640139.0,103542661.0,66732680.0,38361819.0,0,53104.0,201186648.0,48745324.0,232361244.0,114220484,239584790.0,90656762.0,273689,41283109,77014344.0,84721349.0,76923227.0,50025828.0,11265,2021,2058,2025,2412,2436,2334,1230,791,0,4,8015,905,3732,630,6505,3281,32,1962,2677,2356,1843,917,12
32585,2021,1,R,전통시장,2130194,용강동 상점가,CS100002,중식음식점,98095418.0,3530,85,15,17,19,17,17,16,9,6,0,0,34,7,45,15,77,23,0,10,24,38,22,7,83510094.0,14585324.0,16939717.0,18156605.0,16291518.0,16251041.0,15871213.0,8391193.0,6194131.0,0,0.0,32864982.0,6700762.0,44038352.0,14491322,52223772.0,15556435.0,41564,6685779,16162870.0,25571384.0,14618708.0,4699901.0,3016,514,574,670,601,573,598,285,229,0,0,1858,314,1162,196,2190,775,5,318,706,1107,640,186,6
68037,2021,2,R,전통시장,2130194,용강동 상점가,CS100002,중식음식점,103251798.0,3722,85,15,17,17,18,18,16,5,11,0,0,34,7,39,20,75,25,0,12,24,34,21,10,87443998.0,15807800.0,17249567.0,17191546.0,18075754.0,18770178.0,16156953.0,4880525.0,10927275.0,0,0.0,34998099.0,6844287.0,40675997.0,20733415,55842666.0,18495075.0,166258,8589656,17864905.0,24967982.0,15559053.0,7189887.0,3214,508,664,645,588,660,657,170,338,0,0,1885,355,1170,312,2202,909,5,489,760,903,641,312,6
103247,2021,3,R,전통시장,2130194,용강동 상점가,CS100002,중식음식점,77681569.0,3022,87,13,15,17,17,20,18,3,10,0,0,33,12,45,11,75,25,0,9,26,28,24,13,67661799.0,10019770.0,11863020.0,13445105.0,13294042.0,15238449.0,13821183.0,2626505.0,7393265.0,0,0.0,25236413.0,9095841.0,35036118.0,8313197,43318864.0,14214829.0,31173,5317067,14919255.0,16271966.0,13778259.0,7215971.0,2727,295,484,520,572,650,501,50,245,0,0,1497,294,1055,176,1757,768,5,274,693,758,523,272,6
138032,2021,4,R,전통시장,2130194,용강동 상점가,CS100002,중식음식점,102533925.0,3364,88,12,13,21,22,17,15,3,9,0,0,31,6,40,23,73,27,0,11,21,28,26,14,90400698.0,12133227.0,13462292.0,21458883.0,22494421.0,17264276.0,15720826.0,3110637.0,9022590.0,369337,0.0,31354452.0,6467687.0,41044639.0,23297810,51738366.0,19083695.0,81830,8074839,14828087.0,19597677.0,18179530.0,10060097.0,3026,338,446,543,742,595,700,36,302,4,0,1737,308,1062,253,1843,814,5,337,612,700,549,454,6
