,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수
10632,2021,1,A,골목상권,2110577,용강동주민센터,CS100007,치킨전문점,22102421.0,2379,73,27,14,14,14,15,16,14,14,1,0,0,11,63,26,56,44,0,5,19,32,28,17,16070890.0,6031531.0,3047427.0,3147689.0,3071174.0,3348212.0,3456388.0,2978827.0,3052704.0,124008,0.0,0.0,2382534.0,13894156.0,5701723,12095829.0,9597630.0,34980,1005777,4013634.0,6900133.0,5991153.0,3747781.0,1724,655,300,342,338,364,380,338,317,16,0,0,264,1461,638,1301,1025,5,108,423,766,631,392,3
46071,2021,2,A,골목상권,2110577,용강동주민센터,CS100007,치킨전문점,19814872.0,2058,66,34,12,14,12,14,14,19,16,1,0,1,10,64,24,60,40,0,5,22,29,21,23,13020823.0,6794049.0,2321849.0,2749280.0,2319210.0,2794134.0,2836350.0,3656914.0,3137135.0,147755,0.0,242739.0,1904971.0,12683101.0,4836306,11417345.0,7534749.0,34300,941246,4243332.0,5500318.0,3892161.0,4340738.0,1407,651,253,301,263,311,279,328,323,16,0,26,158,1341,517,1235,776,5,102,481,578,423,422,3
81443,2021,3,A,골목상권,2110577,용강동주민센터,CS100007,치킨전문점,16226031.0,1799,71,29,12,10,19,13,17,15,14,0,0,2,14,63,22,57,44,0,6,19,35,17,23,11479961.0,4746070.0,2013149.0,1678064.0,3028957.0,2079111.0,2680680.0,2434774.0,2311296.0,0,0.0,345639.0,2211033.0,10178670.0,3490689,8874696.0,6836834.0,0,905652,3042471.0,5496750.0,2701632.0,3565025.0,1282,517,238,195,301,247,301,285,232,0,0,31,210,1146,412,1032,730,0,107,365,591,330,369,3
116448,2021,4,A,골목상권,2110577,용강동주민센터,CS100007,치킨전문점,17084060.0,1842,65,35,10,12,13,14,16,17,18,0,0,3,22,56,19,63,37,1,5,15,39,22,18,11068361.0,6015699.0,1733472.0,1976210.0,2266441.0,2406280.0,2685958.0,2952441.0,3063258.0,0,0.0,522416.0,3799390.0,9545966.0,3216288,10813663.0,6270397.0,116917,814088,2521752.0,6676740.0,3812000.0,3142563.0,1215,627,201,211,217,275,311,290,337,0,0,63,333,1030,416,1135,707,11,113,264,652,404,398,3
23906,2021,1,D,발달상권,2120106,마포역,CS100007,치킨전문점,55562122.0,1265,85,16,14,17,24,15,15,10,5,0,0,0,4,55,41,73,28,0,4,26,20,34,16,46961175.0,8600947.0,7691704.0,9178440.0,13478914.0,8244623.0,8367494.0,5688912.0,2912035.0,0,0.0,0.0,2297681.0,30299910.0,22964531,29968160.0,11353251.0,0,1793911,10689750.0,8330633.0,13994971.0,6512147.0,1068,197,173,207,356,172,160,111,86,0,0,0,62,736,467,774,234,0,61,233,246,319,148,3
59360,2021,2,D,발달상권,2120106,마포역,CS100007,치킨전문점,64798926.0,1437,83,17,12,26,11,20,14,10,7,0,0,0,1,33,66,76,24,0,6,17,31,42,4,53666842.0,11132084.0,7912872.0,17054450.0,6902260.0,12913710.0,8883550.0,6573582.0,4558502.0,0,0.0,0.0,552918.0,21216695.0,43029313,31795861.0,10271989.0,0,2420552,7040490.0,13171738.0,17616584.0,1818486.0,1166,271,196,305,147,283,235,148,123,0,0,0,12,466,959,762,271,0,62,197,307,418,49,3
94603,2021,3,D,발달상권,2120106,마포역,CS100007,치킨전문점,3858139.0,74,69,31,44,13,0,13,0,31,0,0,0,0,0,50,50,77,23,0,0,0,0,77,23,2678580.0,1179559.0,1683327.0,491483.0,0.0,503770.0,0.0,1179559.0,0.0,0,0.0,0.0,0.0,1941356.0,1916783,1683328.0,491483.0,0,0,0.0,0.0,1683328.0,491483.0,62,12,25,12,0,25,0,12,0,0,0,0,0,49,25,37,12,0,0,0,0,37,12,1
129448,2021,4,D,발달상권,2120106,마포역,CS100007,치킨전문점,616165.0,58,81,19,0,0,0,25,56,0,19,0,0,0,0,19,81,100,0,0,25,19,0,56,0,500994.0,115171.0,0.0,0.0,0.0,155481.0,345513.0,0.0,115171.0,0,0.0,0.0,0.0,115171.0,500994,616165.0,0.0,0,155481,115171.0,0.0,345513.0,0.0,24,34,0,0,0,12,12,0,34,0,0,0,0,35,23,58,0,0,12,34,0,12,0,1
