,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수
23905,2021,1,D,발달상권,2120106,마포역,CS100006,패스트푸드점,97347790.0,10971,78,23,17,16,17,14,14,13,10,0,9,39,16,34,3,46,54,1,30,31,18,16,4,75443233.0,21904557.0,16656455.0,15526561.0,16036597.0,13861812.0,13361808.0,12122670.0,9781887.0,0,9141066.0,37485500.0,15341765.0,32702029.0,2677430,37912802.0,44544654.0,872765,24451152,25624183.0,15021857.0,13069301.0,3418198.0,8620,2351,1889,1837,1858,1484,1552,1289,1062,0,1067,4102,1811,3648,343,4303,5708,121,3337,3184,1668,1315,385,3
59359,2021,2,D,발달상권,2120106,마포역,CS100006,패스트푸드점,129550289.0,14182,78,22,16,16,15,17,15,11,11,0,9,38,15,34,4,46,54,1,30,31,19,15,5,100775440.0,28774849.0,20395936.0,20567215.0,18806426.0,21600382.0,19405481.0,14739857.0,14034992.0,0,11317699.0,49490852.0,19456379.0,43687096.0,5598263,49036043.0,57915279.0,1373826,31533274,32871673.0,19786900.0,16111044.0,5274605.0,11220,2962,2245,2307,2165,2307,2196,1478,1484,0,1356,5488,1906,4820,612,5497,7504,185,4160,4118,2296,1637,602,3
94602,2021,3,D,발달상권,2120106,마포역,CS100006,패스트푸드점,132157814.0,14546,79,21,16,16,16,17,14,11,11,0,9,44,12,32,3,45,55,2,30,30,21,13,5,104034238.0,28123576.0,20436327.0,21410994.0,21242565.0,22217917.0,18726435.0,14278659.0,13844917.0,0,11982172.0,58260586.0,15748791.0,42863697.0,3302568,50093286.0,61395886.0,1638876,33579969,33458636.0,23203778.0,14391385.0,5216527.0,11521,3025,2329,2341,2259,2459,2133,1552,1473,0,1494,6163,1842,4662,385,5707,7692,206,4413,4007,2598,1568,607,3
