,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수
23903,2021,1,D,발달상권,2120106,마포역,CS100004,양식음식점,125265645.0,5945,90,11,17,17,18,15,23,9,2,1,5,58,9,26,1,41,59,1,19,30,27,16,6,112150232.0,13115413.0,21487846.0,20713619.0,22306598.0,18794822.0,28847347.0,11112885.0,2002528.0,952592,5620986.0,72454633.0,11759650.0,33022823.0,1454961,41526042.0,60092904.0,1466402,19608012,30646102.0,27602133.0,15805096.0,6491199.0,5513,432,1268,1008,1094,949,1194,390,42,14,598,3776,467,1040,50,1734,3584,37,1379,1894,1208,603,199,9
59357,2021,2,D,발달상권,2120106,마포역,CS100004,양식음식점,144634786.0,6548,90,10,20,23,14,16,18,10,0,0,2,60,12,24,2,34,66,0,19,30,27,16,9,130360421.0,14274365.0,28265544.0,32569977.0,19664681.0,23617586.0,26242633.0,13926704.0,347661.0,347661,3064981.0,87219893.0,17009916.0,34809022.0,2183313,39872753.0,78893382.0,107641,22216852,36048614.0,31516365.0,18402495.0,10474166.0,6131,417,1390,1367,948,1198,1228,403,14,14,417,3970,656,1435,56,1672,4075,9,1516,1672,1409,734,407,9
94600,2021,3,D,발달상권,2120106,마포역,CS100004,양식음식점,95051503.0,3412,83,17,17,14,16,20,16,15,2,0,0,55,13,30,2,41,59,0,18,27,27,18,11,78948791.0,16102712.0,15913423.0,13215318.0,15168427.0,19213811.0,15437812.0,14072370.0,2030342.0,389381,76485.0,52534735.0,12151682.0,28508179.0,1391041,31769503.0,46406788.0,210797,13674949,21054389.0,21083499.0,13939621.0,8213037.0,2963,449,587,445,583,742,606,393,56,14,14,2027,374,946,37,1048,1898,9,589,880,781,458,230,7
129446,2021,4,D,발달상권,2120106,마포역,CS100004,양식음식점,11959545.0,278,85,15,25,23,0,15,23,4,11,0,0,26,11,54,9,56,44,0,0,56,27,17,0,10186473.0,1773072.0,2927307.0,2729837.0,0.0,1839822.0,2689507.0,472819.0,1300253.0,0,0.0,3105309.0,1304425.0,6423389.0,1126422,4579393.0,3540582.0,0,0,4569659.0,2197219.0,1353097.0,0.0,209,69,56,55,0,28,70,14,55,0,0,70,42,124,42,112,84,0,0,98,42,56,0,5
32587,2021,1,R,전통시장,2130194,용강동 상점가,CS100004,양식음식점,50204076.0,397,52,48,0,12,16,11,13,37,11,0,0,4,16,61,20,66,34,0,18,52,18,9,3,26039187.0,24164889.0,0.0,6102625.0,7777589.0,5626234.0,6532739.0,18525727.0,5639162.0,0,0.0,1985054.0,7967507.0,30362311.0,9889204,27670653.0,14273140.0,0,7688851,21980749.0,7437958.0,3544944.0,1291290.0,163,234,0,33,46,43,41,177,57,0,0,29,71,263,34,217,129,0,71,186,46,28,14,6
68039,2021,2,R,전통시장,2130194,용강동 상점가,CS100004,양식음식점,80048757.0,614,68,33,13,17,6,16,16,14,18,0,0,12,9,53,26,82,18,0,13,56,23,8,0,54031913.0,26016844.0,10322849.0,13895695.0,4771796.0,12491931.0,12549642.0,11331469.0,14685375.0,0,0.0,9230069.0,7035306.0,42672595.0,21110787,42348078.0,9135269.0,0,6860070,28735398.0,11936640.0,3951239.0,0.0,384,230,57,108,47,59,113,101,129,0,0,101,71,349,93,333,100,0,72,260,79,22,0,6
103249,2021,3,R,전통시장,2130194,용강동 상점가,CS100004,양식음식점,68788776.0,471,86,14,19,20,21,20,6,9,5,0,0,15,11,43,31,76,24,0,9,26,35,26,4,58863506.0,9925270.0,12695720.0,14037917.0,14218842.0,14041465.0,3869562.0,6183544.0,3741726.0,0,0.0,10560142.0,7415943.0,29306165.0,21506526,45741028.0,14278885.0,0,5387798,15751780.0,20929543.0,15391192.0,2559599.0,370,101,70,68,81,108,43,58,43,0,0,86,71,214,100,312,129,0,43,141,156,86,14,6
138034,2021,4,R,전통시장,2130194,용강동 상점가,CS100004,양식음식점,111401406.0,580,78,22,14,13,21,9,22,21,2,14,0,8,1,31,46,83,18,0,23,22,29,24,3,86557954.0,24843452.0,15201928.0,14280871.0,22784678.0,9806666.0,24483811.0,22844035.0,1999417.0,15950508,0.0,9119469.0,881927.0,33936870.0,51512632,66099621.0,14010286.0,0,18193928,17450482.0,23029233.0,18916884.0,2519381.0,411,169,26,70,95,40,180,141,28,39,0,130,14,267,130,349,129,0,190,133,49,92,14,6
