,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수
23902,2021,1,D,발달상권,2120106,마포역,CS100003,일식음식점,790085130.0,19183,83,17,13,19,18,15,18,9,8,0,0,39,9,46,6,56,44,0,20,30,22,17,11,653074990.0,137010140.0,102156074.0,148853332.0,142185943.0,119641873.0,140237768.0,72438250.0,64571890.0,0,632801.0,309353322.0,73834651.0,359505017.0,46759339,300537711.0,237211232.0,673470,108469282,163565848.0,115892002.0,90933967.0,58214375.0,16724,2459,3158,3943,3422,2911,3290,1683,776,0,38,9909,1566,7051,619,7604,7251,15,3288,4954,3400,2070,1124,15
59356,2021,2,D,발달상권,2120106,마포역,CS100003,일식음식점,833473061.0,21532,84,16,15,16,17,17,19,9,7,0,0,40,7,41,11,54,46,0,18,34,21,17,11,701456489.0,132016572.0,122315158.0,137001502.0,138055547.0,144371994.0,159712288.0,73734780.0,58281792.0,0,614741.0,336152632.0,58840899.0,343294015.0,94570774,305079878.0,261164982.0,948555,102806627,189601812.0,118808477.0,93964997.0,60114392.0,18976,2556,3695,4008,3637,3742,3894,1829,727,0,26,12052,1373,7153,928,7864,8476,38,3523,5534,3702,2283,1261,16
94599,2021,3,D,발달상권,2120106,마포역,CS100003,일식음식점,724564499.0,19252,85,16,15,16,16,20,19,9,7,0,0,44,11,39,6,59,41,1,20,30,23,18,10,612471851.0,112092648.0,105069505.0,114998741.0,112903544.0,143476617.0,136023444.0,63936566.0,48156082.0,0,268112.0,319477170.0,78401905.0,282291635.0,44125677,299083097.0,210699245.0,2861741,99977117,152395365.0,115049626.0,89336718.0,50161780.0,17081,2171,3163,3096,3213,4070,3539,1563,608,0,16,10945,1728,6067,496,7752,7387,48,3478,4771,3337,2283,1225,15
129445,2021,4,D,발달상권,2120106,마포역,CS100003,일식음식점,852657360.0,19520,83,17,14,17,16,17,19,11,6,0,0,40,11,41,8,55,45,1,23,31,20,16,10,705512288.0,147145072.0,118124788.0,145835444.0,135336767.0,144792671.0,161422618.0,93421053.0,53724019.0,0,1234402.0,343343650.0,94943033.0,345183832.0,67952443,310820648.0,258062199.0,3479136,133019233,176189966.0,111606990.0,88635492.0,55952032.0,17037,2483,2852,3515,3533,3288,3849,1869,614,0,31,10745,1780,6318,646,7479,7578,104,4010,4848,3044,1886,1158,15
32586,2021,1,R,전통시장,2130194,용강동 상점가,CS100003,일식음식점,22417522.0,212,89,11,11,10,14,20,35,11,0,0,0,0,0,51,49,95,5,0,0,29,35,36,0,19943040.0,2474482.0,2492880.0,2134126.0,3026411.0,4360241.0,7929382.0,2474482.0,0.0,0,0.0,0.0,0.0,11443331.0,10974191,15343630.0,855490.0,0,0,4764988.0,5638876.0,5795256.0,0.0,194,18,27,9,37,37,84,18,0,0,0,0,0,129,83,157,9,0,0,36,45,82,0,3
68038,2021,2,R,전통시장,2130194,용강동 상점가,CS100003,일식음식점,49121694.0,414,82,18,21,16,9,20,17,18,0,0,0,0,0,59,42,82,19,0,4,23,32,33,8,40438009.0,8683685.0,10265883.0,7984575.0,4213059.0,9888730.0,8085762.0,8683685.0,0.0,0,0.0,0.0,0.0,28737110.0,20384584,25765892.0,5850448.0,0,1103858,7294663.0,10146298.0,10541846.0,2529676.0,350,64,74,83,46,64,83,64,0,0,0,0,0,257,157,240,45,0,9,73,92,82,27,3
103248,2021,3,R,전통시장,2130194,용강동 상점가,CS100003,일식음식점,32830584.0,294,92,8,11,10,12,51,9,8,0,0,0,0,0,60,40,81,19,0,0,21,33,30,16,30172125.0,2658459.0,3449557.0,3210388.0,4019884.0,16686657.0,2805639.0,2658459.0,0.0,0,0.0,0.0,0.0,19841852.0,12988732,14828495.0,3559943.0,0,0,3789913.0,6135612.0,5500893.0,2962020.0,267,27,27,27,47,129,37,27,0,0,0,0,0,174,120,138,37,0,0,45,46,55,27,3
138033,2021,4,R,전통시장,2130194,용강동 상점가,CS100003,일식음식점,59488761.0,413,88,12,14,18,10,36,10,12,0,0,0,0,0,57,43,92,9,0,8,17,52,24,0,52341280.0,7147481.0,8508908.0,10974190.0,5730864.0,21129688.0,5997630.0,7147481.0,0.0,0,0.0,0.0,0.0,34109220.0,25379541,38055514.0,3541546.0,0,3145996,6871518.0,21488440.0,10091105.0,0.0,358,55,65,82,46,111,54,55,0,0,0,0,0,247,166,294,46,0,27,55,165,92,0,3
