,학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
20752,B000013472,양정고등학교,고등학교,1905-05-12,사립,본교,운영,서울특별시 양천구 목동 911-2,서울특별시 양천구 안양천로 1039,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2021-09-30,37.5353922607,126.887734285,2022-03-24,C738100,청주대학교 지방교육재정연구원
20753,B000011966,정의여자고등학교,고등학교,1976-03-05,사립,본교,운영,서울특별시 도봉구 쌍문동 150-1,서울특별시 도봉구 노해로49길 69,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2021-09-30,37.65335584,127.0324272551,2022-03-24,C738100,청주대학교 지방교육재정연구원
20754,B000008128,예일여자중학교,중학교,1965-09-26,사립,본교,운영,서울특별시 은평구 구산동 8-3,서울특별시 은평구 연서로 117,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2021-09-30,37.610945898,126.9147928382,2022-03-24,C738100,청주대학교 지방교육재정연구원
20759,B000002229,서울발산초등학교,초등학교,1979-10-18,공립,본교,운영,서울특별시 강서구 내발산동 408,서울특별시 강서구 강서로45길 113,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2021-09-30,37.5502624356,126.8309943775,2022-03-24,C738100,청주대학교 지방교육재정연구원
20762,B000008303,신서중학교,중학교,1983-03-04,공립,본교,운영,서울특별시 양천구 신정동 310-6,서울특별시 양천구 중앙로 206,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2021-09-30,37.5159664434,126.8550164287,2022-03-24,C738100,청주대학교 지방교육재정연구원
20764,B000002401,서울개운초등학교,초등학교,2002-07-10,공립,본교,운영,서울특별시 성북구 돈암동 2-8,서울특별시 성북구 정릉로48길 52,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2021-09-30,37.601839017,127.0275962187,2022-03-24,C738100,청주대학교 지방교육재정연구원
20777,B000008116,신도중학교,중학교,2010-03-01,공립,본교,운영,서울특별시 은평구 진관동 208,서울특별시 은평구 진관1로 77-30,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2021-09-30,37.6329836633,126.9308786556,2022-03-24,C738100,청주대학교 지방교육재정연구원
20796,B000011307,송곡관광고등학교,고등학교,1997-05-24,사립,본교,운영,서울특별시 중랑구 망우동 252-1,서울특별시 중랑구 양원역로 67,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2021-09-30,37.6066890425,127.105145451,2022-03-24,C738100,청주대학교 지방교육재정연구원
20803,B000012071,서울세종고등학교,고등학교,1958-12-28,사립,본교,운영,서울특별시 강남구 수서동 711,서울특별시 강남구 광평로51길 36,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2021-09-30,37.4903893469,127.1027968129,2022-03-24,C738100,청주대학교 지방교육재정연구원
20813,B000008147,창천중학교,중학교,2009-03-01,공립,본교,운영,서울특별시 마포구 노고산동 33-1,서울특별시 마포구 백범로1길 56,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2021-09-30,37.55498958,126.9392951481,2022-03-24,C738100,청주대학교 지방교육재정연구원
