,name,latitude,longitude,address,review,savecount,visitorreviewscore
55,C27 가로수길점,37.5207197,127.0233054,서울 강남구 도산대로15길 39,"1,827","16,000",4.27
56,리사르커피 청담점,37.5270930,127.0484457,서울 강남구 도산대로99길 60,562,"36,000",4.61
57,휴가,37.5103131,127.0304478,서울 강남구 논현로119길 16,68,"1,000",
58,에뚜왈,37.5213093,127.0222063,서울 강남구 압구정로10길 35 지하1층,"1,267","39,000",4.49
59,소진담 신사점,37.5224955,127.0242235,"서울 강남구 논현로161길 51 B1, 1F","2,714","23,000",4.49
60,앙꼬,37.5152173,127.0428269,서울 강남구 학동로56길 32 앙꼬,308,"4,000",4.48
61,청수당갤러리,37.5206435,127.0239065,서울 강남구 도산대로15길 32-4 1층,"1,201","34,000",4.44
62,버터핑거팬케익스 청담점,37.5242837,127.0404415,서울 강남구 선릉로152길 11,820,"11,000",4.22
63,르브런쉭 대치점,37.5028423,127.0591392,서울 강남구 삼성로 350 서울빌딩,510,"7,000",4.39
64,카페 노티드 삼성,37.5100993,127.0640471,서울 강남구 테헤란로103길 9 1층,"9,090","20,000",4.5
65,트리아농,37.5203677,127.0446112,서울 강남구 학동로59길 43,378,"24,000",4.39
66,문화시민 서울,37.4910993,127.0343687,서울 강남구 강남대로62길 35 2층,53,"9,000",
67,벙커컴퍼니 압구정점,37.5263818,127.0312294,"서울 강남구 언주로167길 23 단독주택 1, 2층",764,"11,000",4.58
68,카페413프로젝트,37.5023423,127.0344847,서울 강남구 논현로97길 19-11,571,"18,000",4.45
69,웜브라운 베이커리카페,37.5222311,127.0249945,서울 강남구 논현로159길 41 1층,150,"8,000",
70,마망갸또 신사점,37.5223262,127.0215204,서울 강남구 압구정로10길 30-12,246,"7,000",4.36
71,미드타운,37.5200702,127.0224319,서울 강남구 도산대로11길 40,260,"14,000",5
72,당옥,37.5201123,127.0204529,서울 강남구 강남대로162길 22 1층,403,"22,000",4.32
73,PEACH,37.5259096,127.0362140,서울 강남구 언주로168길 32 1층,219,"17,000",4.41
74,배드라핀,37.5027377,127.0337653,서울 강남구 논현로97길 23 1층 카페,45,400,
75,로흐,37.5008565,127.0320046,서울 강남구 테헤란로13길 17 1층 로흐,208,"7,000",4.79
76,겟썸커피 Downstairs,37.5030907,127.0272796,서울 강남구 봉은사로6길 30 지하 1층,850,"16,000",4.51
77,이치서울,37.5192540,127.0205514,서울 강남구 강남대로158길 21 2층,218,"18,000",4.37
78,아방베이커리 역삼점,37.4951941,127.0393206,"서울 강남구 논현로 337 스톤엘리시온 1층, 2층",244,"2,000",
79,식물학,37.5184270,127.0216530,서울 강남구 강남대로154길 33 1층 카페 식물학,604,"13,000",4.43
80,웨스트커프하우스,37.5220256,127.0384832,서울 강남구 도산대로54길 10 1층 웨스트커프하우스,127,500,
81,브릭샌드 강남역점,37.4967517,127.0281362,서울 강남구 강남대로 396 강남역 신분당선 지하1층,173,"1,000",
82,윌비 가로수길점,37.5192580,127.0208324,서울 강남구 강남대로158길 26 M스페이스빌딩 1층 101호,214,"10,000",4.59
83,랜디스도넛 가로수길점,37.5193181,127.0239764,서울 강남구 도산대로15길 16,"2,838","16,000",4.44
