tradeTypeName,rentPrc,dealOrWarrantPrc,area2,floor_estate,floor_buliding,latitude,longitude,flow_pop,bus_N,parking_N,cafe_N,bicycle_N,subway_N,subway_d,school_N,rest_N,day_pop,night_pop,score,2nPrc,평당가격,가성비,가성비_Rank,Score_Rank,Total_Rank
월세,260,"4,000",102,1,3,37.551316,126.920721,7549,35,224,49,5,1,442.1938848757782,0,71,508151.67,471457.29,26288843.918689057,102400000.0,1003921.568627451,0.00751951171875,99,62,69.4
월세,180,"2,000",26,1,5,37.551877,126.918725,21404,39,229,49,7,0,515.0313036322419,0,72,508151.67,471457.29,26001791.321041428,63200000.0,2430769.230769231,0.0088054430379746,64,75,72.8
월세,300,"3,000",84,1,3,37.549014,126.917926,5890,31,250,48,8,2,372.482012271287,2,73,508151.67,471457.29,27622611.60122998,102000000.0,1214285.7142857143,0.0048505882352941,233,33,73.0
월세,150,"2,000",41,B1,2,37.549224,126.917424,8571,32,250,44,7,1,325.9498598742511,2,72,508151.67,471457.29,26629947.483452357,56000000.0,1365853.6585365853,0.0062751964285714,152,55,74.4
월세,90,"2,000",53,B1,3,37.541915,126.952101,2883,42,1,7,6,1,238.1104286425089,4,11,508151.67,471457.29,30982158.27609486,41600000.0,784905.6603773584,0.0036730528846153,347,8,75.80000000000001
월세,200,"2,000",89,2,4,37.551508,126.919298,7825,37,236,54,7,0,525.3154519188566,0,75,508151.67,471457.29,25374844.60541123,68000000.0,764044.9438202247,0.010241544117647,38,87,77.2
월세,150,"1,000",36,1,2,37.552051,126.920119,7549,39,214,47,5,0,538.8911423030487,2,70,508151.67,471457.29,26527934.24590283,46000000.0,1277777.7777777778,0.0059079130434782,165,56,77.80000000000001
월세,180,"2,000",50,B1,1,37.549042,126.91735,8571,33,250,44,7,1,321.7649100621525,2,72,508151.67,471457.29,26134467.36309863,63200000.0,1264000.0,0.0067808544303797,125,68,79.4
월세,180,"2,500",61,2,3,37.548119,126.918284,5890,31,249,47,8,2,405.2019604400463,2,64,508151.67,471457.29,26932199.817052346,68200000.0,1118032.786885246,0.0052681818181818,204,49,80.0
월세,500,"5,000",194,5,7,37.550733,126.920204,7825,34,243,49,7,1,408.7054994685067,2,73,508151.67,471457.29,25339117.457302913,170000000.0,876288.6597938144,0.0089297058823529,58,89,82.80000000000001
월세,300,"3,000",152,B1,4,37.551376,126.919451,7825,36,239,53,6,0,505.4937518427128,0,75,508151.67,471457.29,24886244.028236587,102000000.0,671052.6315789474,0.0116607843137254,21,99,83.4
월세,230,"2,000",49,1,3,37.549508,126.917519,8571,33,251,48,7,1,333.27666304365005,2,74,508151.67,471457.29,26339671.66220872,75200000.0,1534693.8775510204,0.0055848271276595,182,61,85.2
월세,230,"3,000",60,1,7,37.547469,126.917588,5890,30,209,39,6,2,405.343899149372,2,58,508151.67,471457.29,27511203.61883044,85200000.0,1420000.0,0.0041478873239436,299,34,87.0
월세,450,"5,000",93,1,3,37.551779,126.920437,7549,37,214,47,5,1,499.4371867462255,2,67,508151.67,471457.29,27156520.680097464,158000000.0,1698924.7311827955,0.0044433987341772,269,43,88.2
월세,400,"5,000",161,3,7,37.550639,126.920526,7549,34,242,50,7,1,384.302837511385,0,71,508151.67,471457.29,24657341.789975334,146000000.0,906832.298136646,0.0083245821917808,75,102,96.60000000000001
월세,60,"1,000",27,B1,18,37.543508,126.952879,4384,39,1,7,6,1,126.85073794757932,2,11,508151.67,471457.29,26190072.88183758,24400000.0,903703.7037037036,0.0048511475409836,231,64,97.4
월세,380,"4,000",148,2,6,37.552189,126.916416,21404,39,157,38,5,1,384.1542963761441,0,59,508151.67,471457.29,23827477.46910235,131200000.0,886486.4864864865,0.0241447560975609,4,124,100.0
월세,350,"3,000",140,2,5,37.548375,126.918224,5890,31,250,48,9,2,413.4882204814926,2,68,508151.67,471457.29,24962347.48719992,114000000.0,814285.7142857143,0.0072333333333333,110,98,100.4
월세,130,"2,000",50,1,4,37.54834,126.918035,5890,31,250,48,9,2,398.7867185892006,2,68,508151.67,471457.29,25696529.48604613,51200000.0,1024000.0,0.005751953125,174,82,100.4
월세,250,"2,500",293,B1,5,37.555392,126.910318,910,34,105,45,4,1,81.50470361024627,2,40,508151.67,471457.29,29362884.77142457,85000000.0,290102.3890784983,0.0031368235294117,426,20,101.2
월세,260,"3,000",90,2,4,37.552378,126.916741,7940,40,171,35,5,1,418.4501195824424,0,58,508151.67,471457.29,24459964.806846917,92400000.0,1026666.6666666666,0.0077337662337662,88,108,104.0
월세,440,"5,000",176,3,5,37.550111,126.920849,7825,32,238,51,6,1,319.536675585063,2,69,508151.67,471457.29,24155732.60123961,155600000.0,884090.9090909091,0.0088508997429305,62,117,106.00000000000001
월세,600,"6,000",175,3,6,37.550557,126.917584,8571,28,252,44,7,1,360.13432376243765,2,81,508151.67,471457.29,24507220.75241441,204000000.0,1165714.2857142857,0.0073525735294117,106,107,106.80000000000001
월세,90,"2,000",45,B1,5,37.551943,126.919485,7549,42,225,53,7,0,555.9022671938827,0,73,508151.67,471457.29,24311698.64202018,41600000.0,924444.4444444444,0.008165985576923,79,114,107.0
월세,300,"4,000",100,B1,6,37.549179,126.915678,3589,29,196,37,8,1,173.83220954120236,2,69,508151.67,471457.29,27986853.94477141,112000000.0,1120000.0,0.0032044642857142,409,32,107.4
월세,200,"2,000",85,3,4,37.549382,126.917182,8571,31,250,46,7,1,303.66354510573666,2,72,508151.67,471457.29,23468314.712407123,68000000.0,800000.0,0.01071375,31,128,108.60000000000001
월세,700,1억,241,1,3,37.549081,126.917181,8571,32,250,45,7,1,306.4009514284798,2,71,508151.67,471457.29,24295691.51564637,268000000.0,1112033.195020747,0.0077075037313432,89,115,109.8
월세,600,1억,113,1,4,37.551445,126.920247,7549,37,230,50,7,1,473.99576827034736,0,72,508151.67,471457.29,26821743.413048375,244000000.0,2159292.03539823,0.0034960532786885,371,52,115.80000000000001
월세,350,"5,000",120,1,7,37.550724,126.918343,9743,31,248,49,6,1,429.4159621669054,2,75,508151.67,471457.29,23434347.92473678,134000000.0,1116666.6666666667,0.0087250746268656,67,130,117.4
월세,110,"1,000",111,B1,3,37.555511,126.909307,875,33,112,53,4,1,92.27883643610822,2,44,508151.67,471457.29,28713509.66369786,36400000.0,327927.9279279279,0.0026682692307692,490,26,118.8
월세,"1,700",2억,467,3,3,37.550488,126.917169,5469,30,249,43,7,1,323.1484888278593,2,76,508151.67,471457.29,25897926.88490699,608000000.0,1301927.1948608137,0.0042006957236842,293,76,119.4
월세,240,"3,000",60,2,4,37.549397,126.91958,7825,31,251,49,9,1,343.72490100693443,2,73,508151.67,471457.29,24649428.48117094,87600000.0,1460000.0,0.0053595890410958,197,103,121.80000000000001
월세,350,"5,000",49,1,6,37.551745,126.917809,9743,34,234,44,6,1,439.4597083994365,0,71,508151.67,471457.29,26271825.261875816,134000000.0,2734693.8775510206,0.0035627388059701,361,63,122.60000000000001
월세,125,"1,000",19,1,3,37.551955,126.919337,7549,41,225,50,7,0,564.0916066400071,0,73,508151.67,471457.29,26136318.9834347,40000000.0,2105263.1578947366,0.003585775,359,67,125.4
월세,"2,800",3억,654,1,5,37.549823,126.917955,8571,28,253,46,7,2,373.8248696215112,2,78,508151.67,471457.29,24018224.03949544,972000000.0,1486238.5321100918,0.0057669074074074,172,119,129.6
월세,250,"3,000",145,B1,3,37.549698,126.917088,8571,30,249,48,8,1,296.3965294522686,2,75,508151.67,471457.29,22784593.22884749,90000000.0,620689.6551724138,0.0138088333333333,14,160,130.8
월세,380,"5,000",112,1,2,37.54633,126.920124,7825,21,204,39,6,1,285.64695358788657,2,48,508151.67,471457.29,23575874.983911697,141200000.0,1260714.2857142857,0.0062067988668555,156,126,132.0
월세,185,"3,000",32,2,3,37.542002,126.951786,4384,42,1,7,6,1,224.82086573632296,2,11,508151.67,471457.29,34464268.45224452,74400000.0,2325000.0,0.0018855913978494,659,3,134.20000000000002
월세,200,"3,000",99,2,3,37.549389,126.915247,3589,29,191,38,7,1,133.19751499348925,2,66,508151.67,471457.29,24508603.402058538,78000000.0,787878.7878787878,0.0045552692307692,256,106,136.0
월세,550,"8,000",119,1,1,37.549285,126.9173,8571,32,250,46,7,1,314.55618123869414,2,71,508151.67,471457.29,24338745.449678216,212000000.0,1781512.6050420168,0.0048110801886792,234,112,136.4
월세,480,"5,000",66,1,4,37.548861,126.915957,6583,28,209,36,8,1,206.67695903506296,2,67,508151.67,471457.29,27049757.106837645,165200000.0,2503030.303030303,0.0026300121065375,497,47,137.0
월세,242,"2,000",42,1,3,37.542057,126.951522,4384,41,1,7,6,1,218.1408734786736,4,11,508151.67,471457.29,27393864.495480698,78080000.0,1859047.619047619,0.0023581967213114,545,35,137.0
월세,400,"7,000",73,1,4,37.551548,126.920382,7549,37,224,49,7,1,478.5147252991257,0,71,508151.67,471457.29,26084048.75126461,166000000.0,2273972.602739726,0.0033197409638554,395,73,137.4
월세,400,"6,000",98,1,5,37.551944,126.919628,7549,42,224,52,7,0,549.3694589949691,0,74,508151.67,471457.29,24321235.44067519,156000000.0,1591836.7346938776,0.0047423205128205,240,113,138.4
