,tradeTypeName,rentPrc,dealOrWarrantPrc,area2,floorInfo,direction,latitude,longitude
5687,월세,125,"1,000",40,1/4,남서향,37.556231,126.914079
5688,월세,180,"3,500",42,1/5,남동향,37.560744,126.904055
5689,월세,900,"1억 5,000",242,1/4,북서향,37.55499,126.926239
5690,월세,250,"3,000",66,1/7,남동향,37.556261,126.932465
5691,월세,"1,400",2억,143,1/5,동향,37.550059,126.922108
5692,월세,400,"3,000",111,B1/7,남동향,37.555798,126.919203
5693,월세,500,"5,000",92,2/2,동향,37.565327,126.922203
5694,매매,0,"8억 7,000",64,1/7,북향,37.558195,126.910125
5695,월세,190,"2,500",42,1/4,북동향,37.562458,126.925371
5696,월세,250,"4,000",91,B1/5,남서향,37.548733,126.920738
5697,월세,950,"9,500",226,5/7,북서향,37.555579,126.922597
5698,월세,500,"5,000",92,2/2,남서향,37.565327,126.922203
5699,매매,0,"4억 3,000",23,1/4,남서향,37.562091,126.922368
5700,월세,110,"2,000",23,1/4,남서향,37.562091,126.922368
5701,월세,950,1억,127,1/8,북서향,37.543022,126.951193
5702,월세,170,"3,000",24,1/2,남향,37.581767,126.881497
5703,월세,100,"1,000",31,1/7,북서향,37.559187,126.914697
5704,월세,300,"6,000",116,2/4,동향,37.551097,126.923738
5705,월세,80,"1,000",27,1/4,남향,37.554694,126.932596
5706,월세,100,"1,500",28,B1/22,남향,37.579413,126.890424
5707,월세,170,"4,000",40,1/5,동향,37.552164,126.905798
5708,월세,400,"4,000",165,1/2,남서향,37.557566,126.919185
5709,월세,200,"3,000",64,1/2,북동향,37.558206,126.961181
5710,월세,240,"3,000",84,2/4,남향,37.550295,126.921647
5711,월세,300,"4,000",113,1/4,남서향,37.551802,126.909321
5712,월세,70,"2,000",33,2/2,남향,37.572127,126.901911
5713,월세,750,"1억 2,000",163,1/2,북향,37.547543,126.920475
5714,월세,170,"2,000",35,B1/3,북동향,37.562528,126.924938
5715,월세,400,"4,000",142,3/4,동향,37.549382,126.921383
5716,월세,800,"1억 3,000",238,3/6,남향,37.539525,126.94351
5717,월세,900,"1억 5,000",238,2/6,남향,37.539525,126.94351
5718,월세,400,"5,000",81,1/5,북향,37.548231,126.919183
5719,월세,880,2억,187,2/15,북동향,37.564649,126.903573
5720,월세,135,"2,500",58,3/3,남향,37.54846,126.919713
5721,월세,220,"4,000",36,1/1,남향,37.551092,126.934428
5722,월세,170,"3,000",18,B1/25,서향,37.545622,126.948784
5723,월세,280,"2,000",54,1/4,남향,37.551423,126.937179
5724,월세,260,"3,000",49,1/4,남향,37.549966,126.936611
5725,월세,230,"2,000",33,1/6,남서향,37.557338,126.919445
5726,월세,300,"3,000",39,1/5,서향,37.549682,126.921136
5727,월세,340,"4,000",33,1/5,북향,37.548955,126.9199
5728,월세,400,"6,000",71,1/5,북향,37.551944,126.919628
5729,월세,120,"2,000",25,1/3,남동향,37.560909,126.921035
5730,월세,500,"5,000",101,2/5,,37.55515,126.923737
5731,매매,0,"11억 2,257",78,2/15,북동향,37.564649,126.903573
5732,월세,240,"3,000",75,1/330,남서향,37.549188,126.921502
5733,월세,500,"5,000",29,1/4,남동향,37.557411,126.925535
5734,월세,"5,000",5억,647,3/11,남동향,37.556495,126.922559
5735,월세,200,"3,000",30,1/1,남서향,37.547384,126.943504
5736,월세,230,"2,000",66,2/4,,37.559099,126.922168
5737,월세,500,"8,000",110,1/5,남동향,37.559845,126.920683
5738,월세,200,"3,000",10,1/2,북향,37.552798,126.921659
5739,월세,567,"5,670",146,14/15,남동향,37.5572,126.923526
5740,월세,160,"2,500",49,1/3,동향,37.549017,126.91753
5741,월세,"4,000",6억,520,1/4,남향,37.554924,126.923711
5742,월세,200,"2,000",53,3/3,남향,37.554597,126.923169
5743,월세,100,"2,000",52,B1/5,남서향,37.552127,126.920386
5744,월세,300,"5,000",78,1/3,서향,37.55264,126.922041
5745,월세,500,"7,000",101,3/4,북서향,37.551537,126.921079
5746,월세,400,1억,130,1/15,북동향,37.564649,126.903573
5747,월세,350,"5,000",77,2/4,북서향,37.551537,126.921079
5748,월세,180,"2,000",84,6/6,북서향,37.549503,126.919658
5749,월세,420,"5,000",75,B1/2,남동향,37.550942,126.913787
5750,월세,80,"1,000",25,1/5,북서향,37.548684,126.924548
5751,월세,150,"2,000",43,1/4,,37.545914,126.941342
5752,월세,650,1억,66,1/2,남동향,37.551057,126.911867
5753,월세,150,"2,000",60,2/5,동향,37.550245,126.92329
5754,매매,0,21억,66,2/3,남동향,37.551057,126.911867
5755,월세,150,"3,000",29,1/3,북서향,37.54873,126.921422
5756,월세,120,"1,500",19,1/5,남향,37.54882,126.91742
5757,월세,300,"3,000",39,1/5,북서향,37.549682,126.921136
5758,월세,425,"3,000",90,1/5,북향,37.557085,126.904379
5759,월세,"1,500",5억,150,1/4,북동향,37.555785,126.920405
5760,월세,250,"3,000",127,1/3,남서향,37.555741,126.927781
5761,월세,460,"8,000",123,1/3,남동향,37.555224,126.929166
5762,월세,300,"6,000",38,1/3,동향,37.54909,126.922828
5763,월세,"2,500",4억,556,3/5,남동향,37.554309,126.923296
5764,월세,150,"3,000",31,1/7,북동향,37.559364,126.902796
5765,월세,95,"1,000",26,2/2,동향,37.555726,126.907916
5766,월세,500,"7,000",180,B1/4,남향,37.555268,126.92377
5767,월세,400,"3,000",111,B1/7,남동향,37.555798,126.919203
5768,월세,"1,200","1억 2,000",203,1/10,남서향,37.557171,126.909569
5769,월세,200,"3,000",49,3/4,동향,37.565734,126.922985
5770,월세,600,"9,000",85,1/24,남동향,37.580069,126.889006
5771,월세,400,"5,000",95,1/6,남향,37.548093,126.920851
5772,월세,"1,500",2억,293,4/5,남동향,37.554309,126.923296
5773,월세,50,500,15,1/2,동향,37.565427,126.917214
5774,월세,490,1억,109,2/15,북동향,37.564649,126.903573
5775,월세,150,"2,000",61,2/2,남향,37.55482,126.930797
5776,월세,220,"3,000",106,B1/2,서향,37.554147,126.904185
5777,월세,150,"2,000",46,1/2,남향,37.549224,126.917424
5778,월세,280,"4,000",68,B1/3,북향,37.560935,126.924803
5779,월세,100,"2,000",88,B1/4,남동향,37.552923,126.923531
5780,월세,350,"7,000",97,1/2,북향,37.547543,126.920475
5781,월세,450,"5,000",85,1/6,남서향,37.546339,126.92268
5782,월세,260,"2,500",92,1/2,북서향,37.546788,126.921964
5783,매매,0,"14억 3,410",109,2/15,북동향,37.564649,126.903573
5784,월세,180,"1,000",29,1/5,남동향,37.562338,126.924051
5785,월세,130,"3,000",62,1/4,동향,37.55461,126.916638
5786,월세,120,"1,000",24,1/3,남향,37.580275,126.880705
5787,월세,200,"3,000",49,2/4,동향,37.565734,126.922985
5788,월세,230,"3,000",49,1/2,남향,37.563343,126.927376
5789,월세,900,"1억 4,000",241,2/6,,37.539525,126.94351
5790,월세,400,"7,500",145,3/5,서향,37.5516,126.923612
5791,월세,250,"3,000",62,1/5,동향,37.553872,126.927608
5792,월세,150,"2,000",49,1/3,북서향,37.548175,126.921424
5793,월세,200,"3,000",99,B1/4,남향,37.562129,126.90434
5794,월세,360,"5,000",253,B1/5,북동향,37.549912,126.918837
5795,월세,200,"3,000",60,1/6,남서향,37.577899,126.894131
5796,매매,0,"11억 2,257",78,1/15,북동향,37.564649,126.903573
5797,월세,540,1억,290,1/4,남서향,37.578848,126.894794
5798,월세,250,"4,000",93,1/4,남동향,37.577919,126.893787
5799,매매,0,10억,117,B1/30,북서향,37.543508,126.952879
5800,월세,250,"3,000",94,2/4,남향,37.546027,126.915947
5801,월세,400,"5,000",75,B1/5,남동향,37.56053,126.924545
5802,월세,380,"5,000",108,B1/3,북동향,37.556737,126.929225
5803,매매,0,21억,66,2/36,동향,37.551057,126.911867
5804,월세,300,"3,000",19,B1/3,동향,37.562396,126.92563
5805,월세,140,"2,000",66,B1/4,북서향,37.556698,126.913715
5806,월세,160,"2,500",49,1/3,동향,37.549017,126.91753
5807,월세,150,"2,000",91,2/5,남서향,37.553233,126.903463
5808,월세,350,"3,000",115,2/5,동향,37.548375,126.918224
5809,월세,350,"3,000",115,2/5,동향,37.548375,126.918224
5810,월세,270,"5,000",121,1/2,남서향,37.554475,126.90163
5811,월세,400,"3,000",99,1/3,남동향,37.545752,126.91374
5812,월세,150,"2,000",17,B1/2,남동향,37.555043,126.924144
5813,월세,200,3억,95,2/4,남동향,37.570173,126.903857
5814,월세,350,"3,000",114,2/5,북향,37.548375,126.918224
5815,월세,170,"2,000",52,1/4,북향,37.556319,126.90067
5816,월세,"1,200","1억 5,000",325,1/4,남서향,37.564671,126.923448
5817,월세,200,"1,500",30,1/6,동향,37.554686,126.91097
5818,월세,160,"2,500",49,1/3,남동향,37.549017,126.91753
5819,월세,"1,500",3억,340,2/15,남동향,37.556763,126.924162
5820,월세,250,"3,000",33,B1/4,남동향,37.561169,126.926094
5821,월세,220,"3,000",59,1/7,서향,37.547469,126.917588
5822,월세,270,"3,240",37,2/4,남동향,37.561169,126.926094
5823,월세,300,"3,000",152,B1/4,북향,37.551376,126.919451
5824,월세,200,"2,400",37,3/4,남동향,37.561169,126.926094
5825,월세,220,"3,000",77,2/3,남향,37.548477,126.919583
5826,월세,150,"2,000",21,4/4,남동향,37.561169,126.926094
5827,월세,138,"1,000",36,B1/3,서향,37.556068,126.904137
