name,latitude,longitude,address,review,savecount,visitorreviewscore,flow_pop,bus_N,parking_N,cafe_N,bicycle_N,subway_N,school_N,dongcode,aver_sales,subway_d,store_N,rest_N,day_pop,night_pop
텐더리커피앤디저트,37.5655479,126.9217043,서울 마포구 성미산로29길 35 2층 202호,32,"1,000",,794,27,56,76,6,0,6,2110562,16632096.028985508,638.2622887852364,106,58,508151.67,471457.29
금옥당 서교점,37.5487459,126.9203418,서울 마포구 어울마당로 39,770,"4,000",,710,27,250,48,7,1,2,2120105,15533136.013986014,249.17485878729357,98,68,508151.67,471457.29
트래블메이커,37.5599648,126.9241651,서울 마포구 양화로21길 37,320,"7,000",3.99,2148,23,118,98,5,1,0,2120104,19388437.813559324,326.4193377381383,179,101,508151.67,471457.29
피오니 연남점,37.5644422,126.9199584,서울 마포구 연남로 59-1,"1,136","7,000",4.47,663,27,43,59,4,0,6,2110562,16632096.028985508,598.3330586420834,83,42,508151.67,471457.29
다다랩,37.5561101,126.9087896,서울 마포구 월드컵로15길 17 다다랩,248,"12,000",4.94,858,34,97,53,3,1,2,2120100,33044747.18644068,111.29579893222358,87,41,508151.67,471457.29
아날로그가든,37.5554656,126.9180426,서울 마포구 동교로 145 1층 아날로그가든,471,"9,000",4.44,1882,42,96,32,5,0,0,2120102,13887209.016260162,674.7657747970497,61,30,508151.67,471457.29
빵집엔카페 뺑스톡 공덕점,37.5448796,126.9493787,서울 마포구 백범로31길 8 201동 113호,967,"3,000",,6538,39,2,10,6,1,12,2120107,42732588.62195122,217.38480236990736,26,18,508151.67,471457.29
씨스터브레드,37.5635654,126.9272444,서울 마포구 동교로52길 20-4 지층 102호,41,"7,000",5.0,1995,25,91,124,6,0,0,2130192,14813111.333333334,727.4756192819209,204,111,508151.67,471457.29
르빵드파파,37.5653576,126.9205056,서울 마포구 성미산로23길 46 1층,210,"8,000",,762,26,29,59,5,0,6,2110501,11078753.5,563.0721258996757,72,33,508151.67,471457.29
시나모롤 스위트카페,37.5574453,126.9267785,서울 마포구 양화로 188 홍대 AK& 2층,310,"2,000",,616,21,128,58,5,1,2,2110566,20119289.8828125,126.36741909519944,98,54,508151.67,471457.29
디에이프릴,37.5653902,126.9232933,서울 마포구 성미산로29안길 19 1층,538,"13,000",4.44,439,22,67,101,6,0,8,2110506,,769.5898781130148,152,86,508151.67,471457.29
저스트단비 크레페 홍대점,37.5522167,126.920848,서울 마포구 잔다리로6길 30 1층,49,300,,1344,34,205,45,3,0,2,2130190,28899169.296875,530.7237097245117,96,62,508151.67,471457.29
올웨이즈어거스트로스터스,37.556105,126.9035135,서울 마포구 망원로6길 19 1층 일부,27,"18,000",4.77,2063,43,121,53,1,0,2,2110544,10746372.598484848,576.3744411195955,79,34,508151.67,471457.29
그림카페,37.565259,126.9238655,서울 마포구 성미산로 161-10 그림카페,247,"9,000",4.39,423,22,70,111,6,0,8,2110506,,821.2698767014748,172,97,508151.67,471457.29
라베리타,37.5566366,126.9081218,서울 마포구 월드컵로19길 18 반지층 B01,167,"13,000",,858,32,65,50,3,1,2,2130186,8688892.75,180.5284577964806,81,40,508151.67,471457.29
테일러커피 연남 1호점,37.5631113,126.9263399,서울 마포구 성미산로 189 1층,614,"20,000",4.5,2986,25,79,128,7,0,0,2130192,14813111.333333334,663.6019079663228,206,114,508151.67,471457.29
푸당,37.5565057,126.9018972,서울 마포구 망원로4길 3 2층,152,"7,000",,1619,42,115,41,1,0,4,2110541,6932194.75862069,720.3053501838064,58,21,508151.67,471457.29
버티컬커피,37.5558971,126.9248645,서울 마포구 어울마당로 134 3층,706,"2,000",,3370,40,123,48,7,1,2,2130191,21811670.31683168,151.01342537057292,79,40,508151.67,471457.29
헤이미쉬,37.5617046,126.925632,서울 마포구 동교로38길 27 지층 오른쪽 H Cafe & pub,271,"8,000",,2173,19,78,109,7,0,0,2130192,14813111.333333334,502.2664546050099,185,105,508151.67,471457.29
THEDROPBY,37.5479243,126.9175366,서울 마포구 독막로 38 1층 101호,27,300,,7939,31,226,43,6,2,2,2110559,33065238.87719298,375.9800293945849,95,62,508151.67,471457.29
라뽀즈 비건케이크,37.5485806,126.9174041,서울 마포구 양화로6길 60 1층,338,"7,000",,1478,31,244,44,7,2,2,2110559,33065238.87719298,337.6809390038269,103,69,508151.67,471457.29
리틀빅토리,37.5607907,126.9257095,서울 마포구 연희로1길 41,725,"17,000",4.65,5222,20,110,97,7,1,0,2110564,8895260.75,401.2040434376222,172,98,508151.67,471457.29
망원동티라미수 본점,37.5548512,126.9051459,서울 마포구 포은로 87,"2,050","6,000",4.32,1265,37,113,57,3,1,2,2110544,10746372.598484848,454.02203071624655,84,38,508151.67,471457.29
더페이머스램,37.5563808,126.9198194,서울 마포구 월드컵북로 19 대상빌딩,"1,183","5,000",4.44,1162,41,65,36,7,1,2,2120102,13887209.016260162,498.48321714655606,66,36,508151.67,471457.29
르쁘띠푸 홍대본점,37.5499356,126.9232589,서울 마포구 와우산로 62 2층,715,"12,000",4.39,1983,32,180,43,4,1,2,2120105,15533136.013986014,249.4018564705263,79,52,508151.67,471457.29
다레젤라또 연남점,37.5613621,126.9258205,서울 마포구 동교로38길 35 지1층 1호,116,500,,2173,18,78,105,8,1,0,2130192,14813111.333333334,465.3101302888348,182,104,508151.67,471457.29
알디프 티 바,37.5558699,126.9293787,서울 마포구 와우산로35길 19 B1-1F 알디프,"2,895","11,000",4.82,694,28,125,24,5,1,4,2110566,20119289.8828125,381.83308969422126,47,24,508151.67,471457.29
디어다온,37.5602215,126.9255707,서울 마포구 연희로1길 28 101호 디어다온,54,400,,5222,20,130,94,8,1,0,2110564,8895260.75,337.28026016598005,171,98,508151.67,471457.29
