tradeTypeName,rentPrc,dealOrWarrantPrc,area2,floorInfo,direction,latitude,longitude,flow_pop,bus_N,parking_N,cafe_N,bicycle_N,subway_N,subway_d,school_N,store_N,rest_N,day_pop,night_pop,2nPrc_str,2nPrc,평당가격,가성비,가성비_Rank,floor_estate,floor_buliding
월세,450,"5,000",181,B1/5,남서향,37.551462,126.918243,9743,35,241,48,5,1,455.044053924139,2,105,75,508151.67,471457.29,"450*24+5,000",158000000.0,872928.1767955801,0.011161284810126583,26,B1,5
월세,200,"2,000",198,B1/4,동향,37.549976,126.956145,3797,19,0,4,8,1,422.306798169749,4,10,8,508151.67,471457.29,"200*24+2,000",68000000.0,343434.3434343434,0.011055970588235296,27,B1,4
월세,200,"2,000",198,B1/4,동향,37.550103,126.956207,3797,18,0,4,7,1,407.5701308062047,6,10,8,508151.67,471457.29,"200*24+2,000",68000000.0,343434.3434343434,0.011055970588235296,28,B1,4
월세,200,"3,000",87,B1/5,북향,37.548215,126.919972,9743,28,250,45,7,1,259.89377400893494,2,95,63,508151.67,471457.29,"200*24+3,000",78000000.0,896551.724137931,0.010867192307692309,29,B1,5
월세,150,"1,000",75,B1/3,남서향,37.544854,126.914861,6583,16,73,16,3,0,521.9567837170592,2,39,24,508151.67,471457.29,"150*24+1,000",46000000.0,613333.3333333334,0.010733152173913043,30,B1,3
월세,200,"2,000",85,3/4,북서향,37.549382,126.917182,8571,31,250,46,7,1,303.66354510573666,2,105,72,508151.67,471457.29,"200*24+2,000",68000000.0,800000.0,0.01071375,31,3,4
월세,100,"1,000",36,1/2,남동향,37.5558,126.926517,10072,38,110,40,5,1,184.35208790707384,2,58,28,508151.67,471457.29,"100*24+1,000",34000000.0,944444.4444444445,0.010664470588235294,32,1,2
월세,150,"2,000",48,B1/8,남향,37.557279,126.927694,12424,23,117,49,5,1,204.11875923548328,2,80,44,508151.67,471457.29,"150*24+2,000",56000000.0,1166666.6666666667,0.010649142857142857,33,B1,8
월세,160,"2,000",50,1/5,남서향,37.557239,126.928113,12424,24,115,47,5,1,240.88071889170047,4,74,40,508151.67,471457.29,"160*24+2,000",58400000.0,1168000.0,0.010636986301369862,34,1,5
월세,300,"5,000",60,1/4,서향,37.548703,126.91974,21404,28,250,46,9,1,295.4911792692705,2,98,69,508151.67,471457.29,"300*24+5,000",122000000.0,2033333.3333333333,0.01052655737704918,35,1,4
