,ARS-ID,정류소명,X좌표,Y좌표
108,14189,경성중고.홍대부속여중고입구,126.9158071,37.56055181
109,14190,경성중고.홍대부속여중고입구,126.916614,37.55965129
110,14191,경성중고.홍대부속여중고입구,126.917281,37.55940936
111,14192,서울도시가스마포사옥,126.9192505,37.55731118
112,14193,서울도시가스마포사옥,126.9182029,37.55787904
113,14194,마포구청역,126.9026626,37.56272775
114,14195,마포구청역,126.9022263,37.56224531
115,14196,마포중앙도서관,126.9067285,37.56367628
116,14197,마포중앙도서관,126.907457,37.564253
117,14198,성산2교,126.9132319,37.56549514
118,14199,성산2교,126.9126441,37.56569295
119,14200,광흥창역.서강동주민센터,126.9319143,37.54827848
120,14201,광흥창역.서강동주민센터,126.9313858,37.54859595
121,14202,창전현대홈타운,126.9326512,37.550665
122,14203,창전현대홈타운,126.9321995,37.5507125
123,14204,신촌로터리,126.9348326,37.55402911
124,14205,신촌로터리,126.9356826,37.5540512
125,14207,이화여대입구,126.9447875,37.55648966
126,14208,이화여대입구,126.9457319,37.5559161
127,14209,이화여대입구,126.9460206,37.55579909
128,14210,대흥교회,126.9457581,37.55404995
129,14211,대흥교회,126.9460582,37.55378877
130,14212,서강대학교후문,126.9439465,37.55049519
131,14213,마포자이2차아파트.대흥역,126.942535,37.548758
132,14215,굴레방다리.아현역,126.9574606,37.55715181
133,14216,양화진성지공원입구,126.9122481,37.54865754
134,14217,홍대입구,126.920576,37.5546534
135,14218,홀트아동복지회,126.9121781,37.54901065
136,14219,합정역,126.9156095,37.55106044
137,14220,합정역,126.9153072,37.5502177
138,14224,홍대입구역,126.9231281,37.55666423
139,14225,홍대입구역,126.9226012,37.5557706
140,14226,연남동,126.927541,37.56252217
141,14228,신촌역,126.934761,37.55563752
142,14230,극동방송,126.9231512,37.5494238
143,14231,극동방송,126.9229225,37.54942905
144,14232,홍익대학교,126.9238048,37.55219058
145,14233,홍익대학교,126.9246414,37.55307059
146,14234,산울림소극장,126.9298078,37.55437031
147,14235,산울림소극장,126.9301572,37.55495817
148,14236,신수중학교,126.9326481,37.54524221
149,14237,신수중학교,126.9327521,37.545436
150,14238,래미안웰스트림아파트,126.9362365,37.54423137
151,14239,한국출판콘텐츠센터,126.935409,37.5446548
152,14240,용강동주민센터,126.9404187,37.54191773
153,14241,용강동주민센터,126.9411794,37.54170996
154,14242,용강동입구,126.9441051,37.53963255
155,14243,마포대교입구,126.9439921,37.53940813
156,14244,메세나폴리스,126.9129434,37.55076745
157,14245,마포한강푸르지오,126.912592,37.550787
158,14246,성산초등학교입구,126.9118677,37.55313023
159,14247,성산초등학교입구,126.912262,37.553218
160,14248,기업은행서교동지점(최규하대통령가옥),126.9114639,37.55479154
161,14249,기업은행서교동지점(최규하대통령가옥),126.9108956,37.55486951
