,name,latitude,longitude,address
73,디에이프릴,37.5653902,126.9232933,서울 마포구 성미산로29안길 19 1층
74,그레인,37.5623459,126.9260722,서울 마포구 동교로46길 23
75,콘크리트 엔젤,37.5506613,126.9119047,"서울 마포구 월드컵로3길 14 마포한강푸르지오2차상가 1층 103,104호"
76,오스테리아샘킴,37.5513295,126.9109268,서울 마포구 양화로3길 55
77,아로,37.5503489,126.9056311,서울 마포구 동교로8길 39 1층 아로
78,남산호랭이,37.5509258,126.9200786,서울 마포구 잔다리로 25 1층
79,카밀로 라자네리아,37.5525925,126.9128573,서울 마포구 동교로12길 41
80,더핏짜 홍대본점,37.5493550,126.9222696,서울 마포구 와우산로13길 19 1층
81,다이너재키,37.5543724,126.9055647,서울 마포구 포은로 82 1층
82,D51,37.5455951,126.9165611,서울 마포구 토정로 51
83,이름없는파스타 연남점,37.5602286,126.9255615,서울 마포구 연희로1길 28-3 2층 201호
84,해브,37.5613213,126.9262932,서울 마포구 연희로1길 55 1층
85,그릴드300,37.5604200,126.9244668,서울 마포구 동교로 230 2층
86,쿠차라 합정역점,37.5511323,126.9137288,서울 마포구 양화로 45 메세나폴리스 지하1층
87,헤이로라,37.5569662,126.9046518,서울 마포구 포은로 112 1층  Hey  Laura
88,뉴욕아파트먼트 합정점,37.5514866,126.9117787,서울 마포구 월드컵로3길 14 마포한강푸르지오2차상가 217호
89,멕시코다이너,37.5459898,126.9159775,서울 마포구 토정로3안길 33 1층 멕시코다이너
90,윤씨밀방,37.5496663,126.9223687,서울 마포구 와우산로15길 15
91,데일리라운드,37.5619210,126.9259933,서울 마포구 동교로38길 27-19
92,페리도트,37.5565335,126.9048244,서울 마포구 포은로 106-1 1층
93,닥터로빈 상암점,37.5786977,126.8928772,서울 마포구 매봉산로 75
94,감성바베큐,37.5509994,126.9121237,서울 마포구 월드컵로3길 14 지하1층
95,FISH BUCKET,37.5481802,126.9145588,서울 마포구 독막로2길 10 1층
96,버거스올마이티 홍대점,37.5506441,126.9205406,서울 마포구 잔다리로 21-1
97,안녕파스타씨,37.5522661,126.9212937,서울 마포구 잔다리로6길 36 동천빌딩 1층 안녕파스타씨
98,뚜띠쿠치나 마포공덕점,37.5462971,126.9543326,서울 마포구 마포대로12길 58 1층~2층 뚜띠쿠치나공덕
99,연남동느루,37.5608684,126.9245540,서울 마포구 동교로32길 3 3층
100,연남동질리,37.5618044,126.9255049,서울 마포구 동교로38길 23 지층 우측
101,키친485,37.5487036,126.9179959,서울 마포구 양화로6길 67 1층
102,탬파,37.5619052,126.9249607,서울 마포구 동교로38길 12 1층
103,클래식당2nd,37.5615468,126.9265918,서울 마포구 연희로1길 63 1층 클래식당
104,도프피자베이커스 홍대점,37.5585762,126.9246273,서울 마포구 월드컵북로2길 89 1층
105,테이스티버거,37.5482433,126.9207157,서울 마포구 독막로 67-11 행운빌딩 1층
106,닥터로빈 공덕점,37.5432117,126.9515922,서울 마포구 백범로 192 에스오일 본사 1층
107,파사주,37.5462888,126.9132425,서울 마포구 성지5길 8 1층
108,july 13,37.5490181,126.9214648,서울 마포구 와우산로15길 37 지하 1층
109,서강8경,37.5449715,126.9253999,"서울 마포구 토정로 128 프렌치룸레스토랑8층, 홀 다이닝바9층"
110,1989버거스탠드 연남,37.5604639,126.9257353,서울 마포구 연희로1길 36 2층
111,목월,37.5604364,126.9067279,서울 마포구 성미산로1길 61 레스토랑 목월 102호
112,NoiTre,37.5492197,126.9220864,서울 마포구 와우산로13길 23
113,넌덕,37.5507331,126.9085022,서울 마포구 월드컵로5길 74 1층 넌덕
114,칠리,37.5538161,126.9082912,서울 마포구 동교로 55-12 칠리
115,수부니흐,37.5613297,126.9258374,서울 마포구 동교로38길 35
116,바스버거 연남점,37.5590984,126.9248566,서울 마포구 양화로21길 21 2층
117,가든 포에트,37.5501755,126.9236665,서울 마포구 와우산로14길 12 가든 포에트
118,감칠,37.5622774,126.9262932,서울 마포구 동교로46길 27 2.5층
119,마핑파,37.5538789,126.9057668,서울 마포구 포은로 74 2층
120,더피자보이즈 홍대입구역점,37.5552755,126.9260660,서울 마포구 와우산로29마길 24-1 1층
121,백스트리트피자,37.5618365,126.9240507,서울 마포구 동교로 245 4층
122,37.5 익스프레스 공덕점,37.5497883,126.9524206,서울 마포구 마포대로11길 44-19
123,토파,37.5458483,126.9140493,서울 마포구 토정로3길 5 1층
124,크라이치즈버거 상암점,37.5784869,126.8932948,"서울 마포구 매봉산로 75 B109, B110"
125,머지다이닝,37.5626376,126.9262666,서울 마포구 성미산로 194-4
126,원스,37.5535138,126.9135999,서울 마포구 양화로7길 61-6 1층
127,더다이닝랩,37.5596707,126.9252505,서울 마포구 양화로23길 22-7 1층 더다이닝랩
128,쉐이크쉑 홍대점,37.5576685,126.9258931,서울 마포구 양화로 186 (동교동) LC TOWER 1층 101호 쉐이크쉑 홍대점
129,르팔러,37.5516290,126.9139457,서울 마포구 양화로 45 103동 1층 175호 (서교동 메세나폴리스)
130,제임스시카고피자 홍대본점,37.5554619,126.9238837,서울 마포구 어울마당로 122-1 1층 제임스 시카고 피자 홍대본점
131,정각,37.5458065,126.9439071,서울 마포구 백범로20길 28 1층
132,문데이,37.5457432,126.9140355,서울 마포구 토정로 27-1 1층
133,비스트로가마,37.5622611,126.9248321,서울 마포구 동교로38안길 10 1층
134,아날로그키친 홍대입구연남동점,37.5587216,126.9247610,서울 마포구 월드컵북로2길 93 2층
135,비스트로주라,37.5540278,126.9246261,서울 마포구 와우산로23길 18-7
136,해피버거데이,37.5619324,126.9250825,"서울 마포구 동교로38길 14 지1, 1층"
137,부부드꼼뜨와,37.5598566,126.9223929,서울 마포구 월드컵북로6길 82 신한빌딩 1층
138,구스토타코,37.5481419,126.9227917,서울 마포구 와우산로 41
139,요수정,37.5497319,126.9360175,서울 마포구 광성로 28 마포벽산 이-솔렌스힐아파트
140,유어다이닝,37.5544703,126.9038739,"서울 마포구 망원로6길 56 유어다이닝, 101호"
141,반미프엉,37.5649726,126.9224459,"서울 마포구 성미산로29길 20 1, 2, 3층"
142,퍼밀,37.5622061,126.9260727,서울 마포구 동교로46길 26
143,미장플라쎄,37.5590152,126.9247164,서울 마포구 양화로19길 22-30
144,너의옆자리 연남,37.5624502,126.9257597,서울 마포구 성미산로 190-33 2층 202호 너의옆자리
145,유니의우아한식탁,37.5617531,126.9259236,서울 마포구 동교로38길 27-8 2층 유니의우아한식탁
146,덕덕구스X피맥,37.5534086,126.8965936,서울 마포구 마포나루길 442 3층 301호
147,몰라,37.5570309,126.9027888,서울 마포구 망원로 53
148,차만다 연남점,37.5619470,126.9245220,서울 마포구 동교로 248 2층
149,플랜트 연남점,37.5596837,126.9231965,서울 마포구 월드컵북로4길 87
150,독타운피자,37.5487054,126.9167886,서울 마포구 양화로6길 48 2층
151,썬데이브리즈,37.5537493,126.9206250,서울 마포구 홍익로5길 32 2층 썬데이브리즈
152,바스버거 상암DMC점,37.5822006,126.8882789,서울 마포구 월드컵북로56길 19 드림타워 2층
153,투머치텍스트,37.5621699,126.9265144,서울 마포구 동교로46길 34 1.5층
154,페스토 페스토,37.5540980,126.9108037,서울 마포구 동교로 79 1층
155,타이거버거&윙즈 홍대점,37.5541552,126.9299687,서울 마포구 와우산로30길 13
156,다옴383,37.5619963,126.9262062,서울 마포구 동교로38길 27-14 반지층 북쪽 다옴383
157,비볼리,37.5485390,126.9169482,서울 마포구 독막로 31-3 2F
158,조이버거,37.5549583,126.9325794,서울 마포구 신촌로12길 32 1층
159,덕다이브,37.5620226,126.9254110,서울 마포구 동교로38길 19 지층
160,웨스트빌 피자,37.5509120,126.9072688,서울 마포구 포은로 37-1
161,상수동블루스,37.5462668,126.9225487,서울 마포구 와우산로3길 6 1층 상수동블루스
162,팔로피자,37.5498892,126.9156546,서울 마포구 양화로6길 9-20 카메오빌딩
163,슬로우,37.5623042,126.9262234,"서울 마포구 동교로46길 25 2, 3층 Slow"
164,고메오드,37.5457945,126.9455932,"서울 마포구 백범로24길 1-9 1,2층"
165,비아 톨레도 파스타바,37.5625739,126.9253329,서울 마포구 동교로46길 10 2.5층
166,여덟,37.5618384,126.9253491,서울 마포구 동교로38길 22 1층
167,청록양식,37.5595709,126.9242728,서울 마포구 동교로 220-7 1층 청록양식
168,포르투7 상암MBC점,37.5798289,126.8914458,서울 마포구 성암로 255 MBC몰 플라자 1층 103호
169,다운타우너 연남,37.5577199,126.9201292,서울 마포구 월드컵북로6길 12-13 1층(동교동)
170,해즈밀,37.5618844,126.9265631,서울 마포구 동교로46길 42-20 1층
171,올비아,37.5443250,126.9487647,서울 마포구 백범로 170 102동 1층 11호 올비아
172,양식구옥,37.5617342,126.9255814,서울 마포구 동교로38길 27 2층
173,랑빠스81,37.5602610,126.9251498,서울 마포구 동교로30길 17-1 101호
174,크래커,37.5590058,126.9233145,서울 마포구 동교로 211
175,비스트로망원,37.5551966,126.9000188,서울 마포구 희우정로 119 1층
176,마레스타,37.5572135,126.9206475,서울 마포구 월드컵북로4길 15
177,코브라파스타클럽,37.5554724,126.9045936,서울 마포구 포은로5길 7 1층
178,멜로즈,37.5512371,126.9536754,서울 마포구 마포대로 173-14 103호 멜로즈
179,에트나퓨,37.5619444,126.9246293,서울 마포구 동교로38안길 3 2층
180,뚜띠쿠치나 상암점,37.5803815,126.8899121,서울 마포구 월드컵북로 400 한국영상자료원 1층 A111호
181,더피자보이즈 합정본점,37.5485883,126.9196425,서울 마포구 독막로9길 6 2층
182,풀리너마이트,37.5536729,126.9229752,서울 마포구 홍익로 13-4 전체
183,봄띠,37.5615113,126.9254735,서울 마포구 동교로38길 30 3층
184,파이리퍼블릭,37.5593056,126.9257726,서울 마포구 양화로23길 10-10 지하 1층
185,깔모누아,37.5508021,126.9167159,서울 마포구 양화로 72 효성해링턴타워 B1 오픈광장(썬큰광장)
186,루바브,37.5573825,126.9255643,서울 마포구 홍익로6길 83 1층 102호
187,브렛피자,37.5473349,126.9224942,서울 마포구 와우산로 29-8 1층
188,띠오 데 산타바바라 합정점,37.5499877,126.9180721,서울 마포구 어울마당로5길 50 지층A 띠오 데 산타바바라
189,Alive214,37.5556761,126.9083788,서울 마포구 월드컵로13길 34 1층
190,비스트로연남,37.5593029,126.9257510,서울 마포구 양화로23길 10-10
191,쥬벤쿠바 연남점,37.5654826,126.9220285,서울 마포구 성미산로29길 34
192,메종브리크,37.5619340,126.9259316,서울 마포구 동교로38길 27-19 2층 메종브리크
193,조용한저녁,37.5536740,126.9326749,서울 마포구 서강로11길 18
194,브로스버거,37.5529318,126.9230324,서울 마포구 홍익로 3-30 2층
195,알척,37.5620960,126.9235902,서울 마포구 성미산로26길 43
196,버튼업 바 앤 키친,37.5456848,126.9166768,서울 마포구 토정로 53-9
197,이빠네마그릴 스테이크 홍대점,37.5532461,126.9235073,서울 마포구 홍익로 7 지하1층
198,뽀르께노 스페니쉬 타파스바,37.5552179,126.9291619,서울 마포구 와우산로29길 14-10 지하1층
199,스푼필라프 홍대점,37.5561402,126.9114790,서울 마포구 월드컵로14길 19 1층
200,수지앤파스타,37.5487190,126.9212992,서울 마포구 독막로15길 3-18
201,우디네,37.5460483,126.9157908,서울 마포구 토정로3안길 29 나무문
202,안스키친,37.5596859,126.9241549,서울 마포구 동교로 220-5 안스키친
203,스윅,37.5514941,126.9152793,서울 마포구 양화로7길 6-5 1층 SWIG
204,레이키친,37.5529046,126.9063140,서울 마포구 포은로 63 1층 레이키친
205,이플로네의 하루,37.5548588,126.9269005,서울 마포구 와우산로29라길 21
206,온더페리,37.5574165,126.9083530,서울 마포구 월드컵로23길 5 반지층
207,고도,37.5638543,126.9123471,서울 마포구 월드컵북로 121-8 1층
208,연남동 수제버거 펄시티버거,37.5621317,126.9239937,서울 마포구 동교로39길 7 1층
209,차르,37.5543350,126.9212074,서울 마포구 양화로 130 라이즈 호텔 4층
210,P1904,37.5420011,126.9517820,서울 마포구 새창로 18 2층 P.1904
211,스테이크어스 홍대점,37.5565056,126.9226503,서울 마포구 양화로 153 토르스타워 지하1층
212,리치즈하우스,37.5464970,126.9142924,서울 마포구 토정로3길 17 1층
213,연남동와이탑,37.5649025,126.9242773,"서울 마포구 성미산로 163 2,3층/루프탑"
214,219레스토랑,37.5507763,126.9192793,서울 마포구 잔다리로3안길 16 219 pasta
215,비츠비츠 홍대점,37.5551856,126.9235128,서울 마포구 어울마당로 120
216,헤도네,37.5635252,126.9261679,서울 마포구 동교로 272-8 1층 헤도네
217,슬런치,37.5458426,126.9208487,서울 마포구 와우산로3길 38
218,카페 뚜또 페르 뚜띠,37.5556627,126.9181273,서울 마포구 동교로 149-16
219,장화신은고양이,37.5567509,126.9081670,서울 마포구 월드컵로19길 16 지하
220,KFC 홍대점,37.5560245,126.9231785,서울 마포구 양화로 156
221,드래곤 피자,37.5605530,126.9245426,서울 마포구 동교로30길 6 지하1층
222,연남취향,37.5604362,126.9257071,서울 마포구 연희로1길 36
223,더리얼치즈버거,37.5562084,126.9277551,서울 마포구 와우산로29길 48-29 1층
224,스파다,37.5566970,126.9141427,"서울 마포구 잔다리로 109 지하철 : 망원역 1번출구 도보7분이내버스 : 마포08, 15 이용시 희성교회 하차 도보1분 이내, 지하철 : 망원역 1번출구 도보7분이내버스"
225,나요컴퍼니,37.5773507,126.8937986,"서울 마포구 월드컵북로50길 15 1, 2층"
226,버거바이블,37.5456016,126.9466836,서울 마포구 백범로 152 202동 1층 4호
227,묘한식탁,37.5504966,126.9097395,서울 마포구 포은로2나길 44 1층
228,소금집델리 연남,37.5651848,126.9232330,서울 마포구 성미산로29안길 18 201호
229,라 룬 비올렛,37.5571013,126.9204219,서울 마포구 월드컵북로4길 13 1층
230,매덕스피자 연남점,37.5645134,126.9233708,서울 마포구 성미산로 153 1층
231,썸모어델리,37.5664458,126.9198449,서울 마포구 동교로51길 131
232,논드라이,37.5538241,126.9055701,서울 마포구 포은로 75 Nondry
233,안녕 소공녀,37.5467144,126.9422151,서울 마포구 백범로16안길 3 2층 안녕소공녀
234,비스트로 오라,37.5615522,126.9245485,서울 마포구 동교로 244 2층 비스트로오라
235,젠틀키친,37.5663420,126.9199673,서울 마포구 동교로51길 129-4 3층
236,서울미트볼,37.5566208,126.9135171,서울 마포구 월드컵로14길 56 1층
237,문스타파,37.5417881,126.9526311,서울 마포구 새창로 24 B1층
238,몬스터피자 동교동지점,37.5587841,126.9249033,서울 마포구 월드컵북로2길 93 101-1호
239,더플레이스 공덕 해링턴점,37.5425642,126.9520339,서울 마포구 마포대로 92 B동 1층 더플레이스
240,리얼파스타 망원점,37.5551484,126.9101729,서울 마포구 동교로9길 28 1층
241,츄리츄리,37.5484091,126.9213509,서울 마포구 독막로15길 3-13 2층
242,서울미트볼 공덕점,37.5416739,126.9517444,서울 마포구 새창로4길 9 1층
243,훌리오 홍대점,37.5488195,126.9212057,서울 마포구 와우산로13길 40
244,빠레뜨한남 연남점,37.5628140,126.9246872,서울 마포구 동교로 257 1층
245,678치킨앤버거,37.5514229,126.9371789,서울 마포구 서강로16길 69 2층
246,빌라 더 다이닝,37.5601508,126.9248575,"서울 마포구 동교로30길 16 JnS.Bldg B1, 1F, 2F"
247,23플래터,37.5504711,126.9193693,서울 마포구 잔다리로3안길 36 1층 23플래터
248,명옥양품,37.5490715,126.9173443,서울 마포구 독막로3길 24-10 1층 명옥양품
249,빠레뜨한남 망리단길점,37.5549241,126.9048656,서울 마포구 희우정로16길 53 1층
250,쟈드니에,37.5664251,126.9197728,서울 마포구 동교로51길 133-1
251,피자몰 신촌점,37.5551079,126.9359682,서울 마포구 신촌로 94 그랜드플라자 5층
252,파스타공작소,37.5753607,126.8970488,서울 마포구 월드컵북로42가길 24 1층 102호
253,서가앤쿡 합정 메세나폴리스,37.5511323,126.9137288,"서울 마포구 양화로 45 메세나폴리스 B1 194,195"
254,베우노,37.5564440,126.9052680,서울 마포구 포은로8길 9 1층
255,옆구르기,37.5516601,126.9076745,서울 마포구 포은로2길 13 1층
256,플레이트946,37.5485818,126.9251068,서울 마포구 독막로19길 20-6 1층
257,첸토페르첸토,37.5526277,126.9134128,서울 마포구 동교로12길 41-13 1층
258,리리코,37.5629160,126.9259872,서울 마포구 동교로 266-11 101호
259,우노네,37.5776000,126.8951542,서울 마포구 월드컵북로48길 33-7 1층
260,필동함박 홍대점,37.5537124,126.9248148,서울 마포구 와우산로29가길 86 1층
261,카페 쿠바노,37.5548388,126.9283926,서울 마포구 와우산로29나길 7
262,도쿄수플레,37.5652017,126.9237129,서울 마포구 성미산로 161-11
263,경성함바그 홍대점,37.5554402,126.9239096,서울 마포구 어울마당로 122-1 2층
264,버거리 홍대점,37.5557419,126.9237640,서울 마포구 어울마당로 123-1
265,38도씨식당,37.5494707,126.9215762,서울 마포구 와우산로17길 19-17 2층
266,파이브테이블즈,37.5561218,126.9035537,서울 마포구 망원로6길 19
267,로컬코드,37.5630877,126.9258199,서울 마포구 동교로 266-7 2층
268,라그릴리아 공덕점,37.5431960,126.9515120,서울 마포구 마포대로 92 (도화동) 효성해링턴 스퀘어 A동 2층
269,용정바른얼굴식당,37.5614444,126.9259299,서울 마포구 동교로38길 33-6
270,카페 퍼프,37.5601733,126.9222454,서울 마포구 월드컵북로6길 81 2층 puff x aussiecoast
271,진짜파스타,37.5502934,126.9232555,서울 마포구 와우산로 64 전원빌딩 2층
272,타스,37.5592019,126.9256750,"서울 마포구 양화로23길 10-8 1,2 F"
273,할랄가이즈 홍대점,37.5569371,126.9233225,서울 마포구 양화로 161 EXIT 3층
274,탐스피자,37.5570579,126.9290213,서울 마포구 신촌로2안길 35 1층
275,빼꼼하우스,37.5469983,126.9182188,"서울 마포구 독막로8길 15-6 1층, 2층"
276,뇽즈,37.5604681,126.9264188,서울 마포구 연희로 17-1
277,문일리,37.5667250,126.9169033,서울 마포구 연남로13길 9
278,마젠타,37.5463449,126.9412351,서울 마포구 독막로 250 1층
279,LIMA,37.5561557,126.9264635,서울 마포구 와우산로29길 69 4층
280,하카타 호르몬,37.5491347,126.9185676,서울 마포구 독막로5길 26 1층
281,오스테리아 리오,37.5500313,126.9181070,서울 마포구 어울마당로5길 50 2층 오스테리아 리오
282,스파게티스토리 홍대점,37.5538149,126.9226384,서울 마포구 어울마당로 100-3
283,더플레이스 합정역점,37.5500384,126.9119076,서울 마포구 월드컵로1길 14 딜라이트 스퀘어 1차 상가 지하2층
284,매드포갈릭 상암MBC점,37.5798367,126.8914464,서울 마포구 성암로 255 mbc 몰 플라자 2층
285,피자빌스,37.5580285,126.8986377,서울 마포구 방울내로 24 1층 우측점포
286,INCANTO KITCHEN,37.5769883,126.8917928,서울 마포구 월드컵북로 361 DMC이안오피스텔 2단지 2층
287,empty plate,37.5482359,126.9225111,서울 마포구 와우산로 39-12 1층 201호
288,staywell cafe,37.5448758,126.9479611,서울 마포구 백범로 152 101동 1층 12호
289,맥도날드상암DMC점,37.5805221,126.8896160,서울 마포구 월드컵북로 400
290,카페마마스 상암MBC점,37.5809938,126.8900277,서울 마포구 성암로 267 엠비씨신사옥 1층 101호
291,마나올라나,37.5650866,126.9231116,서울 마포구 성미산로 153-16 1층
292,업투미,37.5650578,126.9217021,서울 마포구 성미산로29길 29-9
293,타코델리오,37.5586981,126.9247828,서울 마포구 월드컵북로2길 93
294,포르투7 합정점,37.5511438,126.9119200,서울 마포구 월드컵로3길 14 딜라이트스퀘어2차 B1
295,미드나잇 키친,37.5608132,126.9246427,서울 마포구 동교로32길 5 1층
296,맥도날드 공덕점,37.5410909,126.9470909,서울 마포구 마포대로 53 마포트라팰리스
297,그리스마스,37.5618524,126.9267771,서울 마포구 동교로46길 42-5 지층 101호
298,가스트로스페인,37.5622537,126.9251068,서울 마포구 동교로38안길 18
299,라드,37.5506918,126.9198366,서울 마포구 잔다리로3안길 23
