,대여소번호,보관소(대여소)명,자치구,상세주소,y,x,설치시기,LCD거치대수,QR거치대수,운영방식
51,409.0,누리꿈스퀘어 옆,마포구,서울특별시 마포구 월드컵북로 396,37.57939911,126.8891602,2015-10-07,,30,QR
52,410.0,상암중학교 옆,마포구,서울특별시 마포구 상암산로1길 26,37.57749557,126.8877716,2015-10-07,,10,QR
53,411.0,DMC홍보관,마포구,서울특별시 마포구 월드컵북로 366,37.5779953,126.8914719,2015-10-07,,10,QR
54,412.0,DMC산학협력연구센터 앞,마포구,서울특별시 마포구 매봉산로 37,37.57580185,126.8907394,2015-10-07,,22,QR
55,413.0,상암월드컵파크 3단지 후문,마포구,서울특별시 마포구 매봉산로 8,37.57147598,126.8896866,2015-10-07,,10,QR
56,414.0,상암동주민센터 옆,마포구,서울특별시 마포구 매봉산로2길 16,37.57822037,126.8944702,2022-05-03,,8,QR
57,415.0,DMC역 9번출구 앞,마포구,서울특별시 마포구 성암로 지하184,37.57746887,126.8973618,2015-10-07,10,10,QR
58,416.0,상암월드컵파크 1단지 교차로,마포구,서울특별시 마포구 월드컵북로 502-7,37.57566452,126.8944473,2021-06-25,,12,QR
59,417.0,DMC역 2번출구 옆,마포구,서울특별시 은평구 수색로 지하175,37.57506943,126.8999176,2015-10-07,,20,QR
60,418.0,월드컵경기장역 3번출구 옆,마포구,서울특별시 마포구 월드컵로 지하240,37.57072067,126.8989792,2015-10-07,10,,LCD
61,419.0,홈플러스 앞,마포구,서울특별시 마포구 월드컵로 240,37.56842041,126.8994293,2015-10-07,21,,LCD
62,420.0,서울시 공공자전거 상암센터,마포구,서울특별시 마포구 월드컵북로47길 10,37.56624603,126.8961792,2015-10-07,40,37,QR
63,421.0,마포구청 앞,마포구,서울특별시 마포구 월드컵로 212,37.56574631,126.9018631,2021-03-15,,8,QR
64,422.0,문화비축기지,마포구,서울특별시 마포구 증산로 87,37.56897736,126.8944016,2021-04-02,,9,QR
65,424.0,롯데하이마트 (상암월드컵점),마포구,서울특별시 상암동 1715-29,37.57361984,126.8980484,2017-11-01,15,,LCD
66,425.0,DMC첨단산업센터,마포구,서울특별시 마포구 성암로330,37.58450317,126.8855972,2017-11-01,10,,LCD
67,426.0,서울신용보증재단,마포구,서울특별시 마포구 마포대로 163,37.54906082,126.9541779,2018-07-04,10,,LCD
68,427.0,성산시영아파트,마포구,서울특별시 마포구 월드컵북로 260,37.56958389,126.9038162,2018-02-26,10,,LCD
69,432.0,마포중앙도서관,마포구,마포구 성산로 128,37.56333923,126.9082031,2018-10-12,10,,LCD
70,436.0,이대역 5번출구,마포구,마포구 대흥동 2-1,37.55659103,126.9461899,2018-11-21,10,,LCD
71,437.0,대흥역 1번출구,마포구,마포구 대흥동 105-4,37.54846954,126.9409256,2018-12-04,12,,LCD
72,438.0,성산2-1 공영주차장,마포구,마포구 성산동 199-46,37.56472015,126.9067688,2018-11-22,15,,LCD
73,439.0,마포어린이공원,마포구,마포구 마포동 364-4,37.53552246,126.9439087,2022-05-12,,10,QR
74,440.0,하늘공원 입구,마포구,마포구 하늘공원로 108-2,37.57012177,126.8813477,2019-08-02,15,,LCD
75,487.0,신석초교앞 교차로 교통섬,마포구,마포구 용강동 494-6 ,37.54364014,126.9383087,2020-04-03,,26,QR
76,488.0,푸르메병원,마포구,마포구 상암동 632,37.58456802,126.8802109,2020-04-06,,10,QR
77,489.0,구룡근린공원,마포구,마포구 상암동 1583,37.58320236,126.8827667,2020-04-06,,10,QR
78,490.0,가온문화공원,마포구,마포구 상암동 1594,37.58207703,126.8876648,2020-04-06,,23,QR
79,491.0,월드컵파크 4단지,마포구,마포구 상암동 1761,37.57597733,126.8880692,2020-04-06,,10,QR
80,492.0,성산시영아파트 후문,마포구, 마포구 중동 77-11,37.57313538,126.9018478,2020-06-03,,10,QR
81,493.0,홍대입구역 6번출구,마포구,마포구 서교동 193-4,37.55657578,126.9288559,2020-04-12,,7,QR
82,494.0,신수동주민센터,마포구,마포구 신수동 458,37.54724503,126.9350281,2020-09-16,,5,QR
83,495.0,염리초등학교 앞,마포구,마포구 도화동 536,37.54243088,126.9469986,2020-03-26,,10,QR
84,497.0,합정동주민센터 앞,마포구,마포구 합정동 473-2,37.551754,126.9123001,2020-04-06,,25,QR
85,498.0,연남동주민센터 앞,마포구,마포구 연남동 250-11,37.56465149,126.9221268,2020-04-08,,10,QR
86,3002.0,벽산상암스마트큐브 ,마포구,마포구 성산동 593-1,37.5650444,126.9036026,2020-04-06,,10,QR
87,3003.0,래미안공덕3차아파트,마포구,마포구 공덕동 457,37.54554749,126.9567947,2020-04-02,,5,QR
88,3005.0,마포구청 청사내,마포구,마포구 월드컵로 212,37.56624603,126.9021835,2020-04-02,,10,QR
89,3006.0, 상암월드컵파크5단지(상암중학교),마포구,마포구 상암동 1727,37.57948685,126.8873901,2020-04-06,,10,QR
90,3007.0,MBC 앞,마포구,마포구 상암동 1704,37.58194733,126.8902969,2020-04-06,,10,QR
91,3008.0,DMC역7번출구,마포구,마포구 상암동 1133,37.57711411,126.8983612,2020-04-06,,10,QR
92,3009.0,서교동사거리(신),마포구,마포구 서교동 418,37.55583954,126.920433,2020-04-12,,10,QR
93,3010.0,홍대입구역 3번출구,마포구,마포구 동교동 155-27,37.5582962,126.9253845,2020-04-12,,15,QR
94,3011.0,경의선(노고산동),마포구,마포구 노고산동 112-12,37.55342865,126.9337921,2020-04-08,,15,QR
95,4202.0,프런트원(공덕역 4번출구 앞),마포구,마포구 마포대로 122,37.54585266,126.9525986,2020-12-02,,10,QR
96,4206.0,광흥창역5번출구,마포구,마포구 창전동 246-34,37.54737854,126.931633,2020-12-02,,10,QR
97,4207.0,아만티호텔 앞,마포구,마포구 서교동 445-7,37.5573082,126.9188538,2020-12-03,,10,QR
98,4208.0,스타벅스(동교동) 앞,마포구,마포구 동교동 205-6,37.5566597,126.9198685,2020-12-03,,10,QR
99,4210.0,가좌행복주택 앞,마포구,마포구 중동 275,37.56949234,126.9118424,2020-12-02,,7,QR
100,4211.0,시석빌딩 앞,마포구,마포구 합정동 412-34,37.5483017,126.9167175,2020-12-03,,8,QR
101,4212.0,한화오벨리스크 앞,마포구,마포구 상암동 1758,37.58332062,126.8815613,2020-12-02,,10,QR
102,4213.0,마포구중앙도서관 정문 앞,마포구,마포구 성산동 275-26,37.56415558,126.9081497,2020-12-02,,15,QR
103,4214.0,JTBC 앞,마포구,마포구 상암산로 38 ,37.57730484,126.8901825,2020-12-02,,10,QR
104,4216.0,망원정 앞,마포구,마포구 합정동454-23,37.5500679,126.9048004,2021-07-14,,8,QR
105,4217.0,한강공원 망원나들목,마포구,마포구 망원동 462-8,37.55557632,126.8968887,2021-09-14,,20,QR
106,4218.0,디지털매직스페이스,마포구,MBC본사와 디지털매직스페이스 건물 사이 횡단보도 2개 중간,37.58119965,126.8895798,2021-10-28,,13,QR
107,4220.0,신촌 청년주택,마포구,마포구 창전동15-1,37.54985428,126.9320374,2021-10-28,,10,QR
108,4221.0,솔리스타오피스텔(공덕동주민센터),마포구,서울  마포구 공덕동 30-19,37.55015945,126.9605255,2021-10-26,,13,QR
109,4222.0,서울디자인고등학교 앞,마포구,마포구 염리동 160-68 (동도중학교.서울디자인고등학교 버스정류장에서 공덕방향으로의 보도블럭 공간) (매장 '호계식' 앞),37.54568481,126.9467697,2021-10-26,,5,QR
110,4224.0,서부운전면허시험장,마포구,서울 마포구 월드컵로42길 13,37.57892227,126.882164,2021-10-26,,5,QR
111,4226.0,마포프레스티지자이 1,마포구,서울시 마포구 염리동 30-29,37.55152893,126.9466934,2021-10-26,,14,QR
112,4233.0,코오롱아파트사거리,마포구,마포구 연남로 42 코오롱아파트사거리,37.56303787,126.9214325,2021-10-28,,10,QR
113,4234.0,에스테반,마포구,마포구 만리재로 95,37.54891968,126.9595184,2021-10-28,,10,QR
114,4238.0,상암한샘빌딩앞,마포구,서울시 마포구 성암로 179,37.57649231,126.898674,2021-10-28,,7,QR
115,4239.0,성산2동 주민센터 ,마포구,서울 마포구 성산동 601-8,37.56896973,126.9077988,2021-10-28,,5,QR
116,4240.0,아현문화건강센터,마포구,서울시 마포구 아현동 645-14,37.55235291,126.9514771,2021-10-28,,8,QR
117,4244.0,당인리발전소 공원 앞,마포구,서울 마포구 합정동 50-15,37.54529572,126.9176483,2021-12-09,,5,QR
118,4246.0,상수역새마을금고,마포구,서울 마포구 독막로 8,37.54758835,126.9246445,2021-12-09,,5,QR
119,4247.0,서울서부지방법원등기국앞,마포구,서울서부지방법원등기국앞,37.55184937,126.9547806,2021-12-09,,8,QR
120,4248.0,신촌 교보빌딩,마포구,신촌로 134,37.5560112,126.9403458,2021-12-09,,10,QR
121,4251.0,공덕역 경의선숲길 커뮤니티센터,마포구,서울시 마포구 도화동 1-402 경의선 숲길 커뮤니티센터,37.54161072,126.9537582,2021-12-09,,7,QR
