,tradeTypeName,rentPrc,dealOrWarrantPrc,area2,floorInfo,direction,latitude,longitude,flow_pop,bus_N,parking_N,cafe_N,bicycle_N,subway_N
442,월세,160,"2,000",56,4/4,서향,37.562873,126.92542,1338,13,1,251,2,0
443,월세,100,"1,000",28,B1/5,북서향,37.562977,126.925251,1387,14,1,255,2,0
444,월세,200,"3,000",41,4/4,,37.561952,126.924528,1205,19,1,257,3,0
445,월세,180,"3,000",72,3/6,북동향,37.562574,126.926563,1497,10,1,225,3,0
446,월세,400,"5,000",79,1/4,남서향,37.562554,126.925288,1153,13,1,254,3,0
447,월세,450,"5,000",98,1/5,남향,37.55927,126.921055,1876,38,3,112,8,1
448,월세,170,"2,000",49,B1/2,남향,37.56285,126.926052,1302,12,1,240,2,0
449,월세,200,"2,500",40,2/3,동향,37.561803,126.926469,1378,12,1,221,3,0
450,월세,260,"4,000",81,B1/4,서향,37.563093,126.925582,1338,13,1,246,2,0
451,월세,260,"4,000",81,B1/4,동향,37.563093,126.925582,1338,13,1,246,2,0
452,월세,190,"3,000",35,B1/3,동향,37.560579,126.923681,1416,21,2,228,5,1
453,월세,260,"4,000",81,B1/4,북향,37.563093,126.925582,1338,13,1,246,2,0
454,월세,250,"3,000",48,1/2,남서향,37.56297,126.926575,1124,10,1,228,2,0
455,월세,230,"3,000",39,B1/3,남향,37.560609,126.925422,1302,17,2,207,4,1
456,월세,100,"1,500",33,B1/2,남서향,37.564368,126.917065,871,32,0,78,5,1
457,월세,360,"5,000",78,B1/4,북향,37.560691,126.924788,1448,20,2,219,5,1
458,월세,330,"5,000",71,1/3,남향,37.561069,126.924555,1509,20,1,240,5,1
459,월세,"1,000",1억,104,B1/4,남향,37.558704,126.918276,1710,42,2,45,4,0
460,월세,280,"2,000",74,1/5,남향,37.560154,126.919052,966,31,1,80,5,0
461,월세,230,"3,000",56,2/4,서향,37.561559,126.925483,1285,17,1,239,4,1
462,월세,170,"2,000",43,B1/2,북향,37.560927,126.924949,1600,18,1,224,5,1
463,월세,80,"1,000",49,2/5,북동향,37.561109,126.920106,919,30,1,158,6,0
464,월세,190,"3,000",33,B1/3,북동향,37.560579,126.923681,1416,21,2,228,5,1
465,월세,200,"2,500",33,2/3,남향,37.560609,126.925422,1302,17,2,207,4,1
466,월세,110,"1,000",29,1/3,남서향,37.561578,126.919992,913,30,1,174,5,0
467,월세,130,200,16,1/5,남동향,37.560631,126.920559,953,33,1,155,7,0
468,월세,220,"2,000",39,2/5,남동향,37.56152,126.925741,1176,16,1,232,4,1
469,월세,150,"1,500",33,1/3,남서향,37.561264,126.920281,902,29,1,179,5,0
470,월세,210,"3,000",28,1/1,동향,37.566375,126.920092,879,16,0,123,4,1
471,월세,550,"6,000",69,1/1,북동향,37.564745,126.923046,934,18,1,272,3,0
472,월세,600,"7,000",80,2/4,동향,37.561072,126.924097,1509,21,1,244,5,1
473,월세,500,"6,000",80,3/4,동향,37.561072,126.924097,1509,21,1,244,5,1
474,월세,500,"6,000",80,4/4,동향,37.561072,126.924097,1509,21,1,244,5,1
475,월세,500,"5,000",92,2/2,남서향,37.565327,126.922203,970,19,0,224,3,0
476,월세,500,"6,000",82,B1/4,남동향,37.561169,126.926094,1465,15,1,209,4,1
477,월세,100,"1,500",33,B1/2,서향,37.564368,126.917065,871,32,0,78,5,1
478,월세,300,"4,500",109,2/4,남동향,37.564227,126.922549,975,18,1,283,3,0
479,월세,200,"2,500",49,B1/2,남향,37.560965,126.925299,1136,18,1,221,5,1
480,월세,160,"2,500",24,B1/2,남향,37.562117,126.926043,1140,14,1,233,3,0
481,월세,320,"3,000",78,2/3,남향,37.560849,126.924547,1600,21,1,228,5,1
482,월세,220,"3,000",37,1/3,,37.561856,126.926786,1019,12,1,206,2,0
483,월세,360,"5,000",78,B1/4,북향,37.560639,126.924758,1448,21,2,215,4,1
484,월세,160,"2,000",26,1/2,북동향,37.559379,126.918473,1225,33,1,57,5,0
485,월세,250,"3,000",66,1/2,남향,37.56297,126.926575,1124,10,1,228,2,0
486,월세,180,"3,000",59,4/4,남향,37.562742,126.925363,1338,13,1,253,3,0
487,월세,"1,600","1억 9,000",246,1/4,남서향,37.564639,126.924998,1305,14,1,255,3,0
488,월세,250,"3,000",42,B1/4,동향,37.561169,126.926094,1465,15,1,209,4,1
489,월세,300,"3,600",42,2/4,동향,37.561169,126.926094,1465,15,1,209,4,1
490,월세,220,"3,000",42,1/2,남동향,37.56285,126.926052,1302,12,1,240,2,0
491,월세,200,"2,400",42,3/4,동향,37.561169,126.926094,1465,15,1,209,4,1
492,월세,450,"5,000",63,B1/2,남향,37.564639,126.924998,1305,14,1,255,3,0
493,월세,200,"2,500",37,4/4,남동향,37.561852,126.92462,1240,19,1,251,4,0
494,월세,260,"3,100",49,2/3,북서향,37.56162,126.925672,1176,16,1,237,4,1
495,월세,600,"7,200",77,2/4,동향,37.561169,126.926094,1465,15,1,209,4,1
496,월세,420,"5,000",42,B1/3,북서향,37.56162,126.925672,1176,16,1,237,4,1
497,월세,250,"3,000",39,B1/4,동향,37.561169,126.926094,1465,15,1,209,4,1
498,월세,150,"2,000",73,4/4,동향,37.561169,126.926094,1465,15,1,209,4,1
499,월세,500,"6,000",82,B1/4,동향,37.561169,126.926094,1465,15,1,209,4,1
500,월세,110,"1,500",37,B1/2,서향,37.564368,126.917065,871,32,0,78,5,1
501,월세,100,"1,500",33,B1/2,서향,37.564368,126.917065,871,32,0,78,5,1
502,월세,300,"4,000",66,3/3,남서향,37.562763,126.925724,1344,12,1,249,3,0
503,월세,200,"2,000",30,B1/5,동향,37.565509,126.921677,998,18,0,205,3,0
504,월세,150,"2,000",25,B1/5,동향,37.565509,126.921677,998,18,0,205,3,0
505,월세,220,"3,000",70,3/4,남서향,37.562703,126.924317,1055,16,1,266,3,0
506,월세,250,"3,000",114,B1/4,동향,37.561072,126.924097,1509,21,1,244,5,1
507,월세,500,"6,000",80,4/4,동향,37.561072,126.924097,1509,21,1,244,5,1
508,월세,360,"4,000",99,4/5,남동향,37.562831,126.924535,1363,16,1,264,2,0
509,월세,200,"2,000",97,2/4,동향,37.559796,126.921363,1037,36,3,150,8,1
510,월세,240,"3,000",87,2/4,남향,37.561538,126.924691,1319,19,1,250,5,1
511,월세,380,"7,000",105,1/5,,37.561109,126.920106,919,30,1,158,6,0
512,월세,420,"5,000",278,4/6,북서향,37.563599,126.920627,1702,21,1,240,3,0
513,월세,290,"4,000",68,1/3,북향,37.560935,126.924803,1600,20,1,230,5,1
514,월세,260,"4,000",81,B1/4,남서향,37.563093,126.925582,1338,13,1,246,2,0
515,월세,200,"3,000",34,1/2,남서향,37.560965,126.925299,1136,18,1,221,5,1
516,월세,600,"7,000",80,2/4,동향,37.561072,126.924097,1509,21,1,244,5,1
517,월세,130,"2,000",26,B1/2,남서향,37.563097,126.925815,1344,12,1,243,2,0
518,월세,274,"3,000",39,1/2,남동향,37.56285,126.926052,1302,12,1,240,2,0
519,월세,280,"5,000",82,2/4,북동향,37.562922,126.92574,1344,12,1,245,2,0
520,월세,280,"3,000",55,1/4,북동향,37.562922,126.925313,1319,14,1,253,2,0
521,월세,280,"2,000",54,2/5,북동향,37.560154,126.919052,966,31,1,80,5,0
522,월세,90,"1,000",26,3/5,남향,37.565727,126.921592,975,18,0,184,3,0
523,월세,220,"3,000",33,2/3,,37.561856,126.926786,1019,12,1,206,2,0
524,월세,450,"5,000",76,1/5,동향,37.56661,126.918006,1068,17,0,75,4,1
525,월세,400,"5,000",80,1/4,동향,37.562554,126.925288,1153,13,1,254,3,0
526,월세,300,"3,000",45,1/5,북서향,37.561654,126.92627,1139,13,1,223,3,0
527,월세,290,"4,000",66,2/4,남서향,37.56044,126.925495,1277,18,2,202,4,1
528,월세,121,"1,500",33,1/4,북서향,37.563199,126.926528,1124,10,1,230,2,0
