분류,용강동,대흥동,염리동,신수동,서교동,합정동,망원1동,망원2동,연남동,성산1동,성산2동,상암동,도화동,서강동,공덕동,아현동
한식,1627.795321637427,1650.6849015317287,1185.5593220338983,1035.1607142857142,1536.7538802660754,1799.4707520891366,2672.3431952662722,1672.0283018867924,1328.825316455696,1315.5865921787708,1288.613924050633,1809.6119873817036,2097.6785714285716,699.939393939394,1210.7688679245282,1522.6953642384105
중식,1028.531914893617,1176.6842105263158,410.1764705882353,356.1666666666667,1546.9009584664536,2893.483870967742,1097.96,2257.9166666666665,1204.0238095238096,2567.3333333333335,2044.3684210526317,1276.2568807339449,2874.18,,1039.3461538461538,2729.3529411764707
일식,688.1428571428571,1195.969696969697,,,1887.0870827285921,2222.974683544304,2457.657894736842,,927.4967320261438,2770.2,3856.6,2160.775784753363,1441.0983606557377,301.2,1788.1176470588234,1109.4
양식,411.5079365079365,1101.4651162790697,,532.0,1068.5255474452554,1666.3296703296703,437.01063829787233,2071.125,1010.0305084745763,,,2111.598484848485,785.2,988.695652173913,2633.5833333333335,2235.6521739130435
제과점,14058.9,8530.392156862745,4814.105263157895,19369.166666666668,4027.1875,416.94736842105266,3408.2258064516127,4311.4,662.4130434782609,5230.416666666667,6791.125,4509.850574712644,5598.65625,1733.0,5810.8125,2293.0
패스트푸드점,2646.6,1053.26,502.5,,1744.1446540880504,7542.25,10163.25,533.5384615384615,253.41176470588235,648.9230769230769,173.07142857142858,6449.627272727273,1477.2777777777778,,1692.7272727272727,1467.875
치킨전문점,1319.3333333333333,1141.3103448275863,1176.857142857143,565.05,763.5562130177515,606.3793103448276,2876.568181818182,338.0,748.0833333333334,1503.5714285714287,809.6451612903226,1718.9253731343283,1188.2727272727273,278.25,1274.3636363636363,2212.75
분식,883.5912408759124,744.9880952380952,1970.281690140845,493.34,1670.8519179304192,2190.0266666666666,5057.236686390533,904.0098039215686,1850.8064516129032,2181.75,1038.4583333333333,5022.335347432024,1680.3742331288342,136.25,2598.75,1130.24
호프,575.3688524590164,573.801724137931,163.97826086956522,145.72,1026.3840526700806,498.8050847457627,878.5925925925926,1076.081081081081,697.8031088082902,928.375,811.8571428571429,1745.337837837838,1325.3192771084337,605.5714285714286,927.75,997.3076923076923
커피,3474.1657142857143,3117.0721649484535,3217.3333333333335,3842.1964285714284,4577.810265811182,4564.9239543726235,2637.278008298755,2598.921568627451,3485.933460076046,1068.780487804878,8691.0,5561.940068493151,5130.02205882353,2257.0588235294117,5995.857142857143,3024.9416666666666
