분류,용강동,대흥동,염리동,신수동,서교동,합정동,망원1동,망원2동,연남동,성산1동,성산2동,상암동,도화동,서강동,공덕동,아현동
한식,114351797.79791667,55695408.87644788,33850053.79768786,34378612.921568625,84561617.60381861,68919915.48235294,61277827.867052026,50529757.85887097,68931931.16595745,54026327.6627907,63607858.756613754,79227563.1375,91513765.67002012,50886758.779661015,48468120.31636363,65283987.979865775
중식,101290763.87179486,59916710.08163265,38854227.666666664,100739258.625,72988499.96808511,94980893.88235295,48202463.25,121001422.38461539,146096061.42424244,inf,50598282.428571425,76366487.89156626,144099660.6875,124007221.75,70638955.06451613,77811549.73684211
일식,100844261.98571429,27635324.363636363,,,106265202.36164737,54599923.741935484,90767921.62857144,6917266.0,59063113.19491526,34015690.28571428,129093445.0,90043294.08602151,106613516.08771929,95663152.25,90292655.90322581,99874016.32727273
양식,68112913.1724138,59308479.0,33448318.75,172711117.75,84036273.3306255,76078616.72881356,31308269.03076923,72643459.625,79969748.44444445,10561509.57142857,,119325819.0375,91627475.15151516,45567737.62962963,223530080.8,85947626.0
제과점,51365961.53125,42139340.74576271,67950699.875,125228876.66666667,58908761.55048077,23166031.9,56998516.02173913,103129240.78571428,15543740.222222222,36349743.75,64193406.90909091,104440991.0,61718124.666666664,,274624959.4347826,77369900.92857143
패스트푸드점,91937218.5,46208891.885714285,11290952.642857144,137227792.75,57201495.58912387,43033952.625,96086097.8,16890965.444444444,46401157.20689655,86804288.25,37016725.625,94793161.25773196,46415537.78571428,3626712.5,98214559.5,72632225.05
치킨전문점,36498031.27272727,27926000.08450704,36927406.44186047,7826047.708333333,65316828.29596413,27001674.333333332,77498101.87878788,26534923.75,36304215.583333336,58625515.75,43952419.652173914,84630601.28985508,112416796.97674419,51879557.75,36608784.35294118,86124554.33333333
분식,41197130.696428575,49801963.41284404,25699968.72857143,7516653.222222222,60598634.03292683,61037522.3125,60607593.25510204,9814540.802816901,28008827.792207792,29642358.92,16363897.19047619,65500913.92093023,40446244.0862069,2551826.75,60611434.30434783,23225608.111111112
호프,71657707.84491979,21559981.865,10266202.795918368,22000902.242424242,74414001.39022261,34163397.44632769,42971641.0,48898994.48214286,48516685.19130435,37968319.0,24067133.510638297,75550763.26875,64958162.32,42412273.895522386,26478763.46268657,47449369.31410257
커피,34461536.12101911,31137020.70860927,27740561.36842105,28508181.0,70067517.61855133,52678187.1497006,39881447.462184876,18862850.79,42086365.25538462,22791771.028985508,33897056.73913044,70650479.86926605,66836519.97122302,37708663.2,124155790.86842105,47615701.85393258
