분류,용강동,대흥동,염리동,신수동,서교동,합정동,망원1동,망원2동,연남동,성산1동,성산2동,상암동,도화동,서강동,공덕동,아현동
한식,109743312.1783567,54835238.003868476,29103271.73,29547622.387387387,77722293.90857713,64564829.815625,53856347.65846154,44129860.53784861,63238619.42465753,54208198.67415731,60679943.51086956,74241556.94571118,90637084.41025642,48947368.333333336,58755737.2934363,61608037.127768315
중식,112094049.1081081,61088218.705882356,32800000.066666666,114889744.55555555,71872172.34848484,114143890.76666667,51348874.0,88167185.71428572,234822154.7826087,inf,60166666.666666664,76142028.85897435,102015350.70731707,86250000.25,71515317.17857143,60000538.0
일식,91008764.93506494,32488403.425,,,112266877.67977528,58895958.125,85913801.57142857,9899609.25,53801575.816091955,31750000.25,112383365.25,101575391.45086706,85474230.84615384,70250000.5,86282270.48,128522363.34146342
양식,81829079.5737705,58481184.08888889,57999999.5,151258737.33333334,76383882.50588235,54682345.36363637,25821248.03448276,83444444.33333333,76668388.55263157,21995565.75,,147914015.8031496,117550294.34615384,41559708.62962963,173748328.33333334,65710797.35714286
제과점,67608695.69565217,40517241.362068966,72154519.3125,125438249.33333333,67170021.49744898,33154414.95652174,61438903.45714286,87078780.72222222,25169641.42857143,42666666.75,65102178.0,109846006.44642857,47616328.172413796,,128134305.24,98362042.6923077
패스트푸드점,112224163.73684211,47058921.016666666,15880001.035714285,132275339.375,63999152.1704918,22166666.666666668,126546975.47826087,31930356.375,45456561.27272727,73794962.0,34499999.875,75659243.83132531,73250000.5,4000000.3333333335,40032207.0,45428571.47619048
치킨전문점,38600000.06666667,21050532.15625,32690267.240740743,6769230.846153846,65226717.279661015,23449703.11764706,61260365.5,35177368.35714286,27070014.066666666,54566031.172413796,43991413.92307692,84894199.98529412,87373208.2745098,59199999.8,32946641.5,55743057.65
분식,43142505.86792453,48240508.328125,27481475.265625,8051065.394736842,47860223.3686584,40954022.568627454,50776850.8045977,8186727.422535211,26309223.7125,25942469.714285713,14688974.355555555,61951655.58,41384659.95652174,1705283.8461538462,70212778.4,18657993.838235293
호프,80160153.86705202,24642682.422330096,12549629.472727273,35333333.2962963,73431569.82198952,35070080.54069767,43387001.95555556,46493433.641509436,45827829.80099502,31153188.8,21948998.523809522,81196589.51282051,59857366.10891089,46490196.11764706,29333159.25,47651641.46710526
커피,38695717.75625,27376188.405594405,19438789.486486487,27443510.35714286,64412781.040650405,47090162.97972973,30560822.30612245,22219723.166666668,38017586.2992126,27178353.25,40052631.684210524,63281060.93580247,65405202.830882356,26767793.15625,57162176.18518519,37743147.932038836
