분류,용강동,대흥동,염리동,신수동,서교동,합정동,망원1동,망원2동,연남동,성산1동,성산2동,상암동,도화동,서강동,공덕동,아현동
한식,2240.9158316633266,2107.6750483558994,1208.705,1226.027027027027,2901.3038563829787,1950.8125,1912.9723076923076,1360.8844621513945,2250.219178082192,1815.7134831460673,1528.7010869565217,2769.399565689468,2574.5404339250495,1767.982456140351,1827.2972972972973,1835.3901192504259
중식,2721.972972972973,3023.921568627451,1756.2,5865.444444444444,2687.2007575757575,3104.133333333333,2398.375,5208.428571428572,9577.173913043478,inf,2860.3333333333335,2955.230769230769,2590.609756097561,4427.5,2923.1785714285716,2795.9411764705883
일식,1683.4025974025974,1898.125,,,3694.883426966292,1796.4285714285713,3237.285714285714,299.0,1449.2298850574712,758.3333333333334,3094.75,2572.0867052023123,2091.107692307692,1138.5,1506.96,1923.5365853658536
양식,2567.934426229508,5571.2444444444445,6929.5,11920.666666666666,3168.1035294117646,3734.4545454545455,1914.896551724138,4833.777777777777,3272.757894736842,2084.0,,5781.543307086614,5154.7307692307695,1100.8148148148148,4173.5,3294.0
제과점,9284.347826086956,6333.672413793103,9513.125,16360.5,6904.2959183673465,2665.782608695652,8364.342857142858,9216.111111111111,3168.942857142857,4686.75,7831.727272727273,10843.982142857143,6029.724137931034,,15748.12,14497.846153846154
패스트푸드점,12990.631578947368,4041.483333333333,1018.1071428571429,12523.625,5252.862295081967,1618.3333333333333,10803.173913043478,2102.375,1805.2727272727273,3314.2,1557.625,6337.22891566265,3150.0833333333335,465.6666666666667,4620.5,2329.6666666666665
치킨전문점,1033.4,1115.890625,1689.6296296296296,323.7692307692308,2656.6949152542375,869.7058823529412,4567.805555555556,1276.0714285714287,1610.2,2576.6206896551726,2067.6153846153848,3027.3529411764707,3318.235294117647,2906.8,1288.75,2317.0
분식,4098.811320754717,3343.4921875,3084.890625,851.6052631578947,3770.174746335964,3341.470588235294,4404.862068965517,865.5915492957746,2445.95,1914.25,1326.6888888888889,5386.11,3295.75652173913,270.6923076923077,8281.7,1464.3088235294117
호프,1223.2023121387283,889.2669902912621,255.94545454545454,1025.6666666666667,2376.4157940663176,1022.9360465116279,1467.111111111111,1543.622641509434,1367.960199004975,842.9333333333333,1004.0,2392.301282051282,1470.7326732673268,1314.862745098039,625.671875,1266.657894736842
커피,6103.0875,4672.937062937063,3346.810810810811,4233.166666666667,7739.820121951219,5640.878378378378,3931.8061224489797,3613.883333333333,5414.295275590551,2899.926470588235,5505.105263157895,8164.407407407408,8734.588235294117,3047.59375,8191.530864197531,5908.776699029127
