분류,용강동,대흥동,염리동,신수동,서교동,합정동,망원1동,망원2동,연남동,성산1동,성산2동,상암동,도화동,서강동,공덕동,아현동
한식,108974328.12190083,55836568.04612159,45820939.626436785,40281831.03030303,80605188.76338132,89010210.23123123,59883980.06179775,50906910.449152544,66024905.599326596,52593533.59509202,68038331.55555555,62846576.249204665,97151261.3822314,42286001.323529415,46650580.66101695,63345267.9928952
중식,66733192.125,48588642.73529412,26814193.14285714,194600201.14285713,58637997.64308681,110370999.02702703,34810321.074074075,82487383.875,87374873.16666667,inf,29374799.363636363,31702138.528301887,158526788.54761904,inf,51573432.972222224,65272959.3125
일식,51402986.42352941,28258500.942857143,,,61809987.192204304,42394477.61728395,63747792.35714286,,38166381.58394161,71719367.66666667,164655422.0,49061197.2,83161174.71428572,23994148.5,47814917.0,55408216.16071428
양식,30100513.34090909,83736210.8974359,165937003.0,54175878.8,63727158.45087236,59304666.06097561,26401370.892473117,49623398.75,55824261.93650793,5949112.25,,76362470.62411347,55316998.06818182,28566545.32142857,156266599.95454547,30935857.4
제과점,36278764.39285714,48197598.66037736,53609936.45,61520675.0,49223493.937669374,26590156.222222224,51753440.56521739,54247497.03571428,9963111.18918919,45597609.666666664,54597505.625,60603871.733333334,56627653.071428575,,307997827.84615386,39229903.416666664
패스트푸드점,79342774.6,88143809.66666667,9604465.5,77325411.75,42092487.65384615,23630117.5,118751645.57142857,3551305.888888889,18354599.5,55066284.166666664,26302493.75,91994665.25581396,109962631.75,,32751116.625,57635332.71428572
치킨전문점,51758491.777777776,18303221.347826086,33253779.54054054,8419976.777777778,42912916.05940594,28294781.696969695,51587780.461538464,39185686.25,12055936.75,89861984.91666667,33148993.25,79269167.01449275,60898028.42,20482017.333333332,19405753.55,77516694.3
분식,34156597.75510204,27005209.677966103,18947215.43243243,8177346.72972973,43597068.84056687,46561877.302325584,60123409.30708662,13695066.56862745,24599127.819444444,18033814.653846152,14861244.101449275,47932093.26510067,46408515.65873016,5262291.769230769,39525639.333333336,18386153.714285713
호프,68631591.17557251,22952798.16875,11077102.804878049,16653181.222222222,61575135.96486004,35194020.972222224,31716610.30232558,45662097.0,38354191.51546392,48942497.777777776,17579618.458333332,75219274.54411764,64861959.86875,36561583.7254902,17890058.333333332,53461147.860869564
커피,23334695.68,21861530.529032256,28581992.57142857,32195812.175438598,63817888.68193256,65497379.36444444,19224059.835164834,17131093.61,29862473.445396144,11882190.980582524,47780763.04081633,50070672.1487069,62683274.23741007,42091296.53488372,33289037.464285713,26758123.09375
