분류,용강동,대흥동,염리동,신수동,서교동,합정동,망원1동,망원2동,연남동,성산1동,성산2동,상암동,도화동,서강동,공덕동,아현동
한식,2612.811440677966,2432.7364185110664,1512.3016759776535,1566.3039215686274,3131.1069884726226,2112.160714285714,2465.2011019283746,1927.0454545454545,3251.8736842105263,2051.614457831325,1954.2872928176796,2618.3035343035344,2787.863917525773,1604.3620689655172,1360.2403100775193,2241.703374777975
중식,2139.0,2286.0,2364.75,7492.4,2541.215277777778,2608.969696969697,2141.2083333333335,5057.9375,3735.813953488372,inf,2090.4210526315787,2706.6428571428573,3085.5,inf,2583.8285714285716,3901.4736842105262
일식,1624.3857142857144,1901.7631578947369,,,3401.7160963244614,1515.078947368421,3372.655172413793,,1596.06,1556.0,3088.25,1752.335,3047.0338983050847,490.3333333333333,2243.8076923076924,1712.5820895522388
양식,2500.0943396226417,5489.8421052631575,7402.5,13728.5,3580.870994940978,2457.565789473684,938.8705882352941,2247.5,2640.58431372549,1047.6666666666667,,3847.8502994011974,3060.5,1337.28125,4907.166666666667,6671.761904761905
제과점,9311.115384615385,6738.462962962963,6869.263157894737,13290.142857142857,5878.463659147869,3225.6666666666665,6858.28,7671.0,1490.1866666666667,3841.5,7072.083333333333,9474.32,7077.217391304348,,87328.41666666667,9236.416666666666
패스트푸드점,11324.235294117647,4406.391304347826,761.3125,11111.125,4553.674772036474,2926.0,18811.585365853658,782.1666666666666,1442.4848484848485,4246.333333333333,1930.8333333333333,8567.468085106382,1579.25,,14484.625,6448.6875
치킨전문점,837.1666666666666,1522.5671641791046,2694.5675675675675,337.4,2235.8518518518517,970.8611111111111,6073.25,694.1052631578947,1450.2307692307693,4465.083333333333,2186.1,2885.4285714285716,4513.886363636364,1830.75,1024.5,4828.875
분식,3332.0733944954127,2634.2075471698113,3712.044117647059,721.6666666666666,4506.451327433629,4700.3442622950815,4975.076271186441,926.6129032258065,1684.236111111111,2878.4347826086955,1148.4918032786886,4189.955882352941,3485.433070866142,745.6666666666666,4934.14705882353,1681.5853658536585
호프,1250.9050632911392,1240.4571428571428,255.07142857142858,618.6428571428571,2586.0704500978472,922.922077922078,983.3272727272728,1534.0588235294117,1693.3901345291479,1217.2,581.3555555555556,4477.451612903225,1833.1005917159764,814.6266666666667,624.6769230769231,1311.5401459854015
커피,4948.530487804878,6627.883870967742,5088.102564102564,6917.615384615385,8553.666492420281,6673.316831683168,4293.878571428571,3552.838383838384,4699.6566416040105,2229.943181818182,5638.875,9266.699331848553,8667.315789473685,3234.5116279069766,19377.11842105263,9045.76923076923
