분류,용강동,대흥동,염리동,신수동,서교동,합정동,망원1동,망원2동,연남동,성산1동,성산2동,상암동,도화동,서강동,공덕동,아현동
한식,86797142.85185185,52644756.89660743,27847097.639676113,34202282.6124031,77944587.48965517,60978095.59375,44986502.98095238,40188284.45783132,63023802.18435754,66970709.96391752,72400537.8547486,71302995.72869955,95750217.35225049,59973668.26415094,68377096.29054055,56271525.24067797
중식,88709677.51612903,49042553.234042555,35098524.5,46776135.0,53750211.47863248,41103102.9047619,74000000.05,49300000.3,81166666.55555555,inf,41836983.0,96202242.69090909,109738140.35483871,16000000.5,43661556.96969697,32647059.05882353
일식,65597222.347222224,45700000.25,3043909.0,,109659825.81900452,39988848.020833336,120166666.75,37727919.11111111,109837996.85714285,61250000.0,69250000.0,91422411.87313433,78636143.375,,54271155.63333333,130230812.84210527
양식,79951794.6119403,40759412.85,57500000.0,88499999.75,93598429.57316017,88495697.16666667,,6127730.105263158,53750631.0,,,90967738.86363636,65932574.421052635,28524030.5,457494774.875,61851851.96296296
제과점,63045454.40909091,20044513.897058822,86110548.0,168875000.125,76283260.09722222,6800000.1,53800000.17142857,82947368.42105263,53176470.64705882,42250000.083333336,27280357.5,73500000.08333333,108358974.64102565,,200647058.94117647,137272727.27272728
패스트푸드점,106415504.12,34595544.23076923,11937500.125,114250000.5,60222306.8,,111398742.45238096,25244544.375,16100000.0,124820498.07142857,15000000.0,70231707.52439025,202222222.55555555,25000000.0,27700000.0,216333334.0
치킨전문점,124000000.25,15161290.483870968,28061329.79310345,12677419.516129032,72937283.48672566,35366666.733333334,53397708.02173913,12428571.285714285,34970035.9,47946196.75862069,26409976.8,65813495.220338985,49477432.11111111,37666666.583333336,31365814.111111112,59648878.25
분식,26290570.486486487,20672373.34745763,16181825.313432835,5631299.5,53855418.669565216,70965779.70731707,39005012.61111111,8924690.236363636,23946732.476190478,39249363.93333333,12781282.16,73927304.50955413,42657508.57522124,11888889.111111112,36333637.61290322,32101877.103092782
호프,60269700.05434783,16334875.79620853,13411179.932584269,12967905.952380951,76393010.77623211,31925027.62987013,23633340.039215688,40007303.93846154,34819188.152173914,19524979.8,22700000.125,65571690.31746032,62007275.4974359,24235294.17647059,31102369.76056338,43957751.0
커피,42583273.83846154,43351155.195876285,21256449.12121212,24114285.828571428,69286115.6105,41751638.28571428,19256670.157894738,8368462.245614035,35980800.40883978,21943974.307692308,46803715.54545455,50118122.93209877,72229940.63461539,20375000.15,54011551.62068965,45265779.95698924
