분류,용강동,대흥동,염리동,신수동,서교동,합정동,망원1동,망원2동,연남동,성산1동,성산2동,상암동,도화동,서강동,공덕동,아현동
한식,88927644.87326732,46205160.03829787,37894893.55932204,30924471.35714286,54476306.16832413,74115320.81845239,64788234.950437315,54601949.71495327,46760454.07082153,38194650.40883978,43723764.73493976,54192746.23388773,86307402.02348337,30475770.16438356,50939037.64285714,48371304.46052632
중식,55482690.675,34766560.15789474,7240009.117647059,136244469.625,44492369.58387097,96718582.62162162,28346348.51851852,68156039.8888889,111487851.52777778,inf,40371976.22727273,33527333.153153155,126401165.08510639,,27655674.028571427,69968064.35
일식,29585843.555555556,24719324.1875,,,55622168.449929476,49796569.03947368,38916195.416666664,,37548403.871212125,152190215.83333334,122627369.5,39405806.08294931,91239940.08196722,26976820.166666668,45032393.5,82734156.28947368
양식,23506589.4,25333403.677419353,,27533018.625,39320380.47702835,61998849.70786517,19876333.980582524,47854132.25,40888716.80808081,4977883.0,,65209363.20714286,131909763.9090909,46820761.65,106579894.3888889,81395998.125
제과점,76777579.6,62348193.46428572,34470607.72727273,146955131.66666666,41385661.230337076,11173315.857142856,35217482.358490564,46828202.08571429,8965752.72826087,55686390.666666664,51816606.125,50003752.96385542,60951900.038461536,,99364562.4,16640661.636363637
패스트푸드점,23882748.05,72731365.97674419,8901937.9375,,33391636.653846152,76721474.75,85261813.61764705,3234207.9166666665,7582337.44117647,37091242.86666667,16892080.363636363,77213831.8888889,32516801.0,,17109257.230769232,18664000.5
치킨전문점,37314528.90909091,17700792.757575758,34291883.64285714,15419296.52631579,30549604.90909091,27654444.242424242,32409274.916666668,16497508.0,21179972.0,74441193.75,21565461.0,78954180.65714286,50883614.10638298,9543086.714285715,24726015.466666665,51986470.4
분식,12721011.069565218,14676895.722580645,19454660.272727273,6170558.872340426,28986599.540489644,36264733.91891892,46909531.98795181,8166887.72972973,31700687.92261905,19456487.363636363,20660561.43478261,75878647.65467626,44413279.731884055,3292935.7,31016717.56521739,18736621.755555555
호프,49885319.919117644,22434644.38095238,7649602.705882353,7514665.148148148,47656984.57321652,25012795.525925927,44907314.65671642,47354902.925,25990013.746835444,72640824.4,27886525.36585366,72031448.16778524,65011622.505555555,42355360.59259259,18415378.216666665,45081349.163461536
커피,24537567.061728396,18211086.79881657,18639868.125,29701790.12280702,47576716.041530564,59339008.3487395,19799836.154589374,21244748.20689655,32077476.653225806,13275901.361111112,51418544.716981135,47886838.72110092,52349532.85714286,21649682.025,25784485.724489797,17705727.1
