분류,용강동,대흥동,염리동,신수동,서교동,합정동,망원1동,망원2동,연남동,성산1동,성산2동,상암동,도화동,서강동,공덕동,아현동
한식,2078.9194214876034,2278.6540880503144,1843.7413793103449,1513.6868686868686,2700.4942783314877,2223.6546546546547,2336.1544943820227,1631.4237288135594,2053.2255892255894,1850.079754601227,1961.7962962962963,1986.2332979851537,2409.3904958677685,1223.6323529411766,1421.8813559322034,1708.2380106571936
중식,1636.575,1977.235294117647,1811.2142857142858,10500.0,2094.1800643086817,3148.4054054054054,1458.6296296296296,3628.75,2293.0555555555557,inf,1471.0,1328.3396226415093,3280.0238095238096,inf,1912.9444444444443,2729.3125
일식,936.1411764705882,1797.4,,,2112.3118279569894,1417.6543209876543,2556.1785714285716,,1028.3649635036497,1467.3333333333333,4057.0,1086.23,1949.4285714285713,302.6875,912.8666666666667,933.9107142857143
양식,708.8181818181819,6510.307692307692,16801.0,1901.6,2587.4931129476586,1524.9634146341464,800.1505376344086,2432.25,1367.3055555555557,258.4166666666667,,2291.9858156028367,1282.090909090909,704.1071428571429,1950.909090909091,1852.0
제과점,5912.821428571428,7747.698113207547,7740.9,9295.8125,5310.815718157181,1864.7777777777778,8165.086956521739,5992.928571428572,1057.0675675675675,4565.333333333333,6428.375,6233.855555555556,6413.392857142857,,33249.153846153844,7231.666666666667
패스트푸드점,10142.9,7364.523809523809,522.9375,8250.125,3781.4423076923076,3767.25,17105.214285714286,430.1111111111111,719.5,2038.1666666666667,1071.875,9283.953488372093,4047.25,,3167.25,6390.928571428572
치킨전문점,1202.0,1108.927536231884,1567.4594594594594,306.5,1620.0742574257426,901.5151515151515,4250.923076923077,1900.0,789.8333333333334,3807.25,1532.35,2693.4202898550725,2509.48,980.6666666666666,615.7,4577.4
분식,2781.0714285714284,1517.4830508474577,2039.162162162162,824.7027027027027,3200.7714791851195,3172.546511627907,6002.472440944882,1418.1960784313726,1936.1898148148148,1870.3461538461538,1002.9130434782609,3978.771812080537,3476.15873015873,862.6153846153846,3980.8888888888887,1447.6483516483515
호프,846.8473282442748,803.7,229.0731707317073,450.25925925925924,1824.8374032162,808.3888888888889,803.5348837209302,1138.560975609756,1110.8556701030927,1119.6666666666667,599.2708333333334,1866.2205882352941,1307.2,828.2156862745098,347.0833333333333,1350.4521739130435
커피,3895.88,4557.477419354838,5455.632653061224,5162.0,7040.462003019627,6204.115555555555,2515.521978021978,2686.68,4012.8715203426123,1194.6699029126214,7139.34693877551,6578.144396551724,6750.784172661871,4339.697674418605,5866.333333333333,4597.4375
