분류,용강동,대흥동,염리동,신수동,서교동,합정동,망원1동,망원2동,연남동,성산1동,성산2동,상암동,도화동,서강동,공덕동,아현동
한식,1704.031746031746,1864.4571890145396,1070.5141700404859,1173.062015503876,2698.7779310344827,1965.7534722222222,1559.8507936507935,1164.3694779116465,2142.949720670391,1878.860824742268,1833.7150837988827,2662.8262331838564,2436.295499021526,1967.7358490566037,1893.3817567567567,1462.377966101695
중식,2265.8387096774195,2176.2127659574467,1787.15,2322.133333333333,2465.7179487179487,1691.142857142857,4274.35,2958.1,2507.3888888888887,inf,2063.769230769231,2708.109090909091,2786.6451612903224,1085.25,1260.1818181818182,1585.4705882352941
일식,1104.5972222222222,2056.6,149.25,,3369.8340874811465,1020.3958333333334,1904.3333333333333,1308.0,2334.3142857142857,1181.25,2103.75,3129.4701492537315,1813.2142857142858,,1012.2666666666667,2329.0263157894738
양식,2436.179104477612,4323.95,6596.5,5801.25,3669.3099567099566,4431.833333333333,,374.36842105263156,1747.5326086956522,,,2868.4469696969695,2058.2631578947367,1354.9,12502.75,2432.4814814814813
제과점,6840.954545454545,2948.6176470588234,11360.416666666666,22177.75,7832.625,479.3,6197.085714285714,8447.578947368422,5602.470588235294,4253.25,2699.25,7878.458333333333,11853.564102564103,,25073.29411764706,22974.090909090908
패스트푸드점,12960.96,3295.596153846154,817.4375,12321.5,4343.782142857143,,9014.904761904761,1250.375,1196.3,5651.071428571428,793.0,5561.231707317073,11525.0,465.1666666666667,1869.0,11803.666666666666
치킨전문점,3552.375,909.3709677419355,1438.948275862069,562.6129032258065,2858.137168141593,1239.5666666666666,3343.0,612.7142857142857,1355.65,2128.206896551724,1261.0,2102.830508474576,2181.190476190476,1612.9166666666667,1216.388888888889,1964.3125
분식,1914.045045045045,2655.14406779661,2438.268656716418,340.34375,4329.341614906833,4744.634146341464,2901.625,721.8181818181819,2021.3095238095239,3406.6,1036.44,5976.509554140127,3443.734513274336,959.0555555555555,3347.064516129032,2010.5670103092784
호프,1050.7554347826087,521.3649289099526,366.92134831460675,477.2857142857143,2425.779411764706,900.9480519480519,1037.0980392156862,1143.3384615384616,944.9347826086956,608.7,1228.9,1786.8650793650793,1213.8666666666666,836.7352941176471,412.0,1152.9161676646706
커피,6235.661538461539,7507.329896907217,3385.242424242424,2908.114285714286,7457.5685,4789.04347826087,2234.7368421052633,1383.4912280701753,4651.96685082873,1946.9807692307693,5083.272727272727,5821.719135802469,8272.201923076924,1966.125,7450.6551724137935,5992.387096774193
