분류,용강동,대흥동,염리동,신수동,서교동,합정동,망원1동,망원2동,연남동,성산1동,성산2동,상암동,도화동,서강동,공덕동,아현동
한식,122536151.56567797,60154103.05633803,37225489.268156424,37006157.60784314,89148756.14265129,78322942.73511904,64705028.07438017,54477725.19834711,87251844.82105263,62691762.04819277,69503434.33701657,74980310.32640332,113944053.76701032,55409380.75862069,44742721.44573643,74605931.97335702
중식,87378707.89473684,57885077.13953488,41682532.75,160751569.6,70883038.72916667,84899644.03030303,45694211.583333336,99272004.125,99542792.11627907,inf,41941002.2631579,65817113.5,148339426.02272728,inf,63131158.0,88473508.89473684
일식,99076997.37142856,27845208.184210528,,,99627684.68314321,52929130.94736842,112405252.34482759,,59285342.56,69542173.14285715,130185341.5,69323015.99,102029320.79661018,35799262.333333336,116763501.0,85878297.8358209
양식,63861755.56603774,78768777.05263157,74845394.25,147665531.5,81303145.26559865,65396323.434210524,28343943.188235294,45404665.5,72523901.40784314,14736639.666666666,,96352504.4011976,98697538.24,33244851.0625,237541435.33333334,110990260.42857143
제과점,56915939.07692308,46324269.0,52831154.0,98966857.71428572,60717086.606516294,45417990.5,50945694.54,70618538.36363636,12525470.12,37595777.416666664,59869585.5,97833372.50666666,65079437.0,,776862779.6666666,56022228.0
패스트푸드점,88609771.0,50170621.24637681,13731035.3125,105994773.125,49725687.26443769,32654275.818181816,134545106.80487806,8124145.5,33747859.72727273,99262615.0,47494103.0,91987223.68085106,42579176.25,,135804196.125,71079889.6875
치킨전문점,34284797.25,27493180.56716418,45547853.72972973,8741411.0,57763567.416666664,29474856.361111112,78536947.59375,19879023.263157893,24823102.692307692,95095810.0,46889457.0,81427758.34920634,109164502.81818181,39806928.0,27781439.25,104270964.625
분식,37845330.880733944,42974914.216981135,35405138.73529412,6928229.424242424,62019744.736725666,55433182.7704918,54601944.66949152,9118191.774193548,19825995.555555556,34854015.08695652,14846637.131147541,53378654.4007353,41286989.488188975,4847998.333333333,40132326.88235294,20788476.13414634
호프,88618434.93037975,28634987.33714286,12279907.738095239,21794420.464285713,83717230.74902153,39622139.13636363,39085354.43636364,56400983.058823526,57326305.53811659,45065155.05,18793815.755555555,92463375.2967742,78442448.52071007,30982178.626666665,29585626.52307692,59363666.27737226
커피,31676009.42073171,28065026.8,27013680.230769232,40728422.48717949,75607308.06325144,65931651.445544556,32308202.0,22997846.7979798,37029205.46867168,19302306.795454547,39143065.770833336,68470961.93541202,67898694.81954888,32542600.651162792,149293620.03947368,51039039.9010989
