분류,용강동,대흥동,염리동,신수동,서교동,합정동,망원1동,망원2동,연남동,성산1동,성산2동,상암동,도화동,서강동,공덕동,아현동
한식,92179705.84405458,45250841.242888406,35046428.096045196,38690947.991071425,45283275.16740576,66906048.225626744,61906991.28106509,49429089.891509436,46098920.08354431,35611519.17318436,41438963.721518986,51799752.8170347,77267461.10119048,24759173.59090909,50224912.60377359,47846723.37251656
중식,37463323.74468085,27528963.763157893,5826451.764705882,6978367.166666667,39893296.55591054,92355748.19354838,26087371.84,49908679.166666664,84620537.54761904,42242396.0,39373068.684210524,32611810.47706422,112484108.6,,25244266.692307692,78837084.94117647
일식,26131017.324675325,21255561.060606062,,,54057349.86937591,60398081.60759494,43957710.65789474,,36028876.20915033,119547619.4,181639377.0,54483129.22421525,71522935.73770492,25088396.0,98966020.64705883,96638338.15555556
양식,15075150.888888888,59148851.55813953,,13577660.666666666,32214700.33472367,64805406.62637363,19494310.117021278,40122064.375,39482538.62372881,,,65052490.416666664,14292665.8,32033168.086956523,168487073.0,39230216.39130435
제과점,99377322.1,67218821.0,38753966.21052632,153289344.75,38187700.666666664,6444531.578947368,29355612.629032258,43663873.9,7461893.532608695,51385679.5,51650935.5,43468115.655172415,48454673.21875,43494962.0,151552540.125,20665126.5
패스트푸드점,23937059.533333335,28304526.02,6115837.0625,,25924532.694968555,62894238.25,79519886.53125,6187533.076923077,4603858.705882353,17461486.53846154,5190011.714285715,65537684.18181818,25716410.0,,18425231.454545453,21519414.375
치킨전문점,55860214.5,13612470.034482758,23265485.0,14512618.5,20179880.431952663,17232654.137931034,32713339.477272727,9969381.75,11677501.166666666,34384389.571428575,18011409.93548387,54939843.62686567,26417995.954545453,5979618.75,23011998.90909091,39438734.416666664
분식,14752960.437956205,11568697.24404762,18555943.04225352,5843146.88,25577067.197145406,30868929.0,47010691.67455621,6759676.137254902,33593799.95698924,25593196.75,11671650.854166666,59962379.08761329,27443870.791411042,1212862.375,25644908.958333332,15833913.68
호프,41561978.704918034,18109976.724137932,8879336.043478262,4905593.4,36400891.01316752,19439192.110169493,37344692.75925926,28593979.864864863,24324938.015544042,44848370.5,16834454.535714287,50045998.27027027,52886510.0060241,33618554.0952381,34054802.65,38663045.67032967
커피,21935300.72,18616386.041237112,12928435.705882354,25931941.589285713,44971652.76581118,52289667.36501901,20431573.049792532,22200973.411764707,29994732.8878327,11878158.853658536,62315668.62962963,42804076.03082192,44534841.705882356,20640196.73529412,40333305.28571428,17554334.566666666
