분류,용강동,대흥동,염리동,신수동,서교동,합정동,망원1동,망원2동,연남동,성산1동,성산2동,상암동,도화동,서강동,공덕동,아현동
한식,2409.695833333333,2176.8474903474903,1396.3526011560693,1281.8823529411766,3099.346403000341,2049.4323529411763,2206.034682080925,1636.2540322580646,2336.195744680851,1647.5813953488373,1785.116402116402,2909.616666666667,2520.466800804829,1744.864406779661,1466.5527272727272,1961.8070469798658
중식,2294.5897435897436,2757.2448979591836,2154.0,4791.25,2762.049645390071,2775.029411764706,2229.2916666666665,7764.846153846154,5833.636363636364,inf,2468.5,3014.265060240964,2990.1458333333335,4288.0,2996.4193548387098,3560.7368421052633
일식,1624.4285714285713,1649.7954545454545,,,3593.6550836550837,1634.6290322580646,3175.9142857142856,178.0,1651.3135593220338,703.0,3307.5,2230.9086021505377,3320.3859649122805,1373.25,2006.1612903225807,1605.7454545454545
양식,2427.396551724138,3977.7916666666665,3785.75,15492.25,3695.545897644192,3393.0338983050847,1192.0153846153846,3854.0,3262.4526748971193,537.7142857142857,,5207.4125,4295.454545454545,1586.7407407407406,4729.52,6114.6
제과점,8044.84375,6524.118644067797,9180.875,17254.833333333332,6083.0,1755.6,7959.369565217391,11472.92857142857,1861.7142857142858,4110.166666666667,7660.818181818182,9842.172413793103,7283.666666666667,,28554.695652173912,11461.714285714286
패스트푸드점,11746.722222222223,3980.4285714285716,755.5,13167.0,5145.5377643504535,3412.25,9794.644444444444,1167.6666666666667,1678.4827586206898,3655.55,1570.75,9082.443298969072,1925.142857142857,456.0,7182.375,5838.85
치킨전문점,931.9090909090909,1540.112676056338,2131.1627906976746,330.375,2583.14798206278,983.6666666666666,6084.848484848485,974.0,2071.0833333333335,2817.8,1975.9130434782608,3135.5072463768115,4383.186046511628,2453.25,1368.1764705882354,3480.6666666666665
분식,3995.785714285714,3382.697247706422,2855.5714285714284,751.4666666666667,4508.1,5899.75,5335.275510204082,952.4225352112676,2643.246753246753,2211.08,1393.857142857143,5463.362790697674,3592.7586206896553,401.8333333333333,7690.434782608696,1856.7619047619048
호프,989.3262032085562,771.04,219.81632653061226,614.1212121212121,2407.2680052378873,890.6214689265537,1376.3673469387754,1569.267857142857,1433.6695652173912,1014.6521739130435,871.9574468085107,1887.825,1538.18,1165.1641791044776,586.1343283582089,1220.6923076923076
커피,5437.299363057325,7630.509933774834,4810.973684210527,4321.9473684210525,8266.033350703492,5879.862275449102,5238.6134453781515,3072.05,5800.772307692308,2821.550724637681,4944.239130434783,9612.802752293577,8563.856115107914,4204.733333333334,17165.78947368421,7645.808988764045
