분류,용강동,대흥동,염리동,신수동,서교동,합정동,망원1동,망원2동,연남동,성산1동,성산2동,상암동,도화동,서강동,공덕동,아현동
한식,1922.340782122905,2073.2582897033158,1110.576,1048.6810344827586,2896.3729946524063,2196.0068728522338,1831.983606557377,1155.8387096774193,2331.2263157894736,1977.016304347826,1911.0777777777778,2803.2968929804374,2554.625498007968,2114.68,2161.1439688715955,1732.2601054481547
중식,3088.1612903225805,3073.3863636363635,1242.9375,3181.75,2707.799212598425,2448.56,3323.2631578947367,7749.7,5428.214285714285,inf,3216.5,2113.0333333333333,2893.3055555555557,2912.25,2850.6,2117.5
일식,1317.4102564102564,1007.3571428571429,61.5,,3333.060698027314,1572.4528301886792,3149.6,404.0,1645.7272727272727,1101.875,2426.75,3280.123287671233,1980.5438596491229,270.0,1429.1333333333334,1898.4
양식,2714.3064516129034,7609.861111111111,6594.5,5588.0,3576.420833333333,3210.125,1226.8,3145.3125,1938.453237410072,1801.0,,4132.956140350877,4919.5,1458.7222222222222,6111.285714285715,2762.1
제과점,7100.04347826087,4804.545454545455,11560.384615384615,21504.625,7566.05291005291,1163.2,7274.757575757576,8499.55,4710.190476190476,4459.916666666667,6331.125,10023.702127659575,11313.03125,,14883.40909090909,13347.25
패스트푸드점,12980.916666666666,3945.75,1583.551724137931,16580.2,5707.493006993007,43.0,8034.3125,1417.875,1686.0,3764.3333333333335,1798.5,5316.089743589743,3449.0833333333335,,4314.25,4833.714285714285
치킨전문점,3657.909090909091,889.1090909090909,1712.6065573770493,371.13793103448273,2516.5342465753424,1168.2926829268292,4670.0,,1571.3157894736842,2581.78125,2082.2,2838.15625,2513.1785714285716,1451.909090909091,1144.3809523809523,2648.15
분식,4463.21,2147.9153846153845,2473.3389830508477,731.3,4191.118800461361,2994.5,3143.9736842105262,1028.59375,2082.342857142857,1654.7586206896551,1049.35,4679.777173913043,3019.923076923077,860.0,5154.041666666667,1683.1764705882354
호프,1226.2882352941176,887.6896551724138,437.44444444444446,859.0645161290323,2356.4833403627163,933.0833333333334,1127.7297297297298,1347.5396825396826,1509.4382716049383,2110.0625,1397.0526315789473,1779.6038961038962,1440.2067307692307,926.9487179487179,683.0,1315.9325153374234
커피,12029.363636363636,4608.947826086956,3428.818181818182,3954.3783783783783,7969.382308845577,6104.335664335665,3625.6458333333335,2171.9791666666665,6041.558252427184,2325.603448275862,5425.6551724137935,7952.9228571428575,8474.074766355141,2304.1428571428573,5680.333333333333,4240.194444444444
